                                            结算单 Settlement Statement                                                

账户：0029
日期：20191227
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6603177.38                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6469452.27
平仓盈亏 Realized P/L：              -3000.00                  保证金占用 Margin Occupied：       3273945.00
持仓盈亏  MTM P/L：                -130000.00                  可用资金 Fund Avail.：             3195507.27
手续费 Commission：                    725.11                  风险度 Risk Degree：                   50.61%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            p2005|  20191220|  投机|  买  |        4|     6000.000|         6228.000|      6560.00|     12456.00|
|     大商所|            p2005|  20191220|  投机|  买  |        1|     6000.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191220|  投机|  买  |        1|     6070.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191220|  投机|  买  |        4|     6070.000|         6228.000|      6560.00|     12456.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6228.000|      1640.00|      3114.00|
|     大商所|            p2005|  20191220|  投机|  买  |        5|     6050.000|         6228.000|      8200.00|     15570.00|
|     大商所|            v2005|  20191226|  投机|    卖|        5|     6510.000|         6505.000|      -375.00|      8131.25|
|     大商所|            v2005|  20191225|  投机|    卖|       15|     6490.000|         6505.000|     -1125.00|     24393.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13985.000|      -200.00|      4894.75|
|     上期所|           bu2006|  20191226|  投机|    卖|        2|     3112.000|         3160.000|      -960.00|      5688.00|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3160.000|      -480.00|      2844.00|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3160.000|      -480.00|      2844.00|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3160.000|      -480.00|      2844.00|
|     上期所|           ru2005|  20191226|  投机|    卖|        8|    12810.000|        12860.000|    -10000.00|     92592.00|
|     上期所|           ru2005|  20191226|  投机|    卖|        2|    12810.000|        12860.000|     -2500.00|     23148.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|       10|     4590.000|         4610.000|         0.00|     32270.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|       13|     4590.000|         4610.000|         0.00|     41951.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|       12|     4590.000|         4610.000|         0.00|     38724.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4610.000|         0.00|      3227.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        6|     4590.000|         4610.000|         0.00|     19362.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           ru2005|  20191220|  投机|    卖|        4|    12810.000|        12860.000|     -5000.00|     46296.00|
|     上期所|           ru2005|  20191220|  投机|    卖|        2|    12810.000|        12860.000|     -2500.00|     23148.00|
|     上期所|           ru2005|  20191220|  投机|    卖|        4|    12810.000|        12860.000|     -5000.00|     46296.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13985.000|      -200.00|      4894.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14010.000|       250.00|      4903.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13985.000|      -200.00|      4894.75|
