                                            结算单 Settlement Statement                                                

账户：0029
日期：20191230
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6469452.27                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6374908.24
平仓盈亏 Realized P/L：               -100.00                  保证金占用 Margin Occupied：       3343138.40
持仓盈亏  MTM P/L：                 -94370.00                  可用资金 Fund Avail.：             3031769.84
手续费 Commission：                     74.03                  风险度 Risk Degree：                   52.44%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6170.000|         6298.000|      3500.00|     15745.00|
|     大商所|            p2005|  20191220|  投机|  买  |        4|     6000.000|         6298.000|      2800.00|     12596.00|
|     大商所|            p2005|  20191220|  投机|  买  |        1|     6000.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6240.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6240.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6240.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        2|     6240.000|         6298.000|      1400.00|      6298.00|
|     大商所|            p2005|  20191220|  投机|  买  |        1|     6070.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191220|  投机|  买  |        4|     6070.000|         6298.000|      2800.00|     12596.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6096.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6300.000|         6298.000|      3500.00|     15745.00|
|     大商所|            p2005|  20191220|  投机|  买  |        5|     6050.000|         6298.000|      3500.00|     15745.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6298.000|         6298.000|      3500.00|     15745.00|
|     大商所|            v2005|  20191226|  投机|    卖|        5|     6510.000|         6500.000|       125.00|      8125.00|
|     大商所|            v2005|  20191225|  投机|    卖|       15|     6490.000|         6500.000|       375.00|     24375.00|
|     上期所|           bu2006|  20191227|  投机|    卖|        3|     3180.000|         3184.000|      -720.00|      8596.80|
|     上期所|           bu2006|  20191227|  投机|    卖|        2|     3180.000|         3184.000|      -480.00|      5731.20|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        14040.000|       275.00|      4914.00|
|     上期所|           bu2006|  20191226|  投机|    卖|        2|     3112.000|         3184.000|      -480.00|      5731.20|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3184.000|      -240.00|      2865.60|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3184.000|      -240.00|      2865.60|
|     上期所|           bu2006|  20191226|  投机|    卖|        1|     3112.000|         3184.000|      -240.00|      2865.60|
|     上期所|           ru2005|  20191226|  投机|    卖|        8|    12810.000|        12970.000|     -8800.00|     93384.00|
|     上期所|           ru2005|  20191226|  投机|    卖|        2|    12810.000|        12970.000|     -2200.00|     23346.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|       10|     4590.000|         4616.000|      -600.00|     32312.00|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|       13|     4590.000|         4616.000|      -780.00|     42005.60|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|       12|     4590.000|         4616.000|      -720.00|     38774.40|
|     上期所|           sp2005|  20191223|  投机|    卖|        1|     4590.000|         4616.000|       -60.00|      3231.20|
|     上期所|           sp2005|  20191223|  投机|    卖|        6|     4590.000|         4616.000|      -360.00|     19387.20|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           ru2005|  20191220|  投机|    卖|        4|    12810.000|        12970.000|     -4400.00|     46692.00|
|     上期所|           ru2005|  20191220|  投机|    卖|        2|    12810.000|        12970.000|     -2200.00|     23346.00|
|     上期所|           ru2005|  20191220|  投机|    卖|        4|    12810.000|        12970.000|     -4400.00|     46692.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        14040.000|       275.00|      4914.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        14055.000|      -225.00|      4919.25|
