                                            结算单 Settlement Statement                                                

账户：0039
日期：20190718
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5324538.64                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5399462.14
平仓盈亏 Realized P/L：               4650.00                  保证金占用 Margin Occupied：       3502082.00
持仓盈亏  MTM P/L：                  73695.00                  可用资金 Fund Avail.：             1897380.14
手续费 Commission：                   3421.50                  风险度 Risk Degree：                   64.86%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190517|  投机|    卖|        2|    14050.000|        13015.000|       400.00|      6507.50|
|     郑商所|            CF909|  20190521|  投机|    卖|        5|    13900.000|        13015.000|      1000.00|     16268.75|
|     郑商所|            CF909|  20190522|  投机|    卖|        5|    13550.000|        13015.000|      1000.00|     16268.75|
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        13015.000|       600.00|      9761.25|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        13015.000|       400.00|      6507.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        13015.000|       400.00|      6507.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        13015.000|       400.00|      6507.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        13015.000|       400.00|      6507.50|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        13015.000|      2000.00|     32537.50|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        13015.000|       200.00|      3253.75|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        13015.000|      1800.00|     29283.75|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        13015.000|      1000.00|     16268.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        13015.000|       200.00|      3253.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        13015.000|       400.00|      6507.50|
|     大商所|            i1909|  20190710|  投机|    卖|        9|      884.500|          895.000|      -900.00|     80550.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          895.000|      -200.00|     17900.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          895.000|      -200.00|     17900.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          895.000|      -200.00|     17900.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          895.000|      -200.00|     17900.00|
|     大商所|            i1909|  20190712|  投机|    卖|        7|      880.000|          895.000|      -700.00|     62650.00|
|     大商所|            i1909|  20190712|  投机|    卖|        2|      873.000|          895.000|      -200.00|     17900.00|
|     大商所|            i1909|  20190717|  投机|    卖|        5|      900.000|          895.000|      -500.00|     44750.00|
|     大商所|            i1909|  20190711|  投机|    卖|       18|      868.500|          895.000|     -1800.00|    161100.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          895.000|      -100.00|      8950.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          895.000|      -100.00|      8950.00|
|     大商所|            i1909|  20190711|  投机|    卖|       10|      868.500|          895.000|     -1000.00|     89500.00|
|     大商所|            i1909|  20190704|  投机|    卖|       29|      866.000|          895.000|     -2900.00|    259550.00|
|     大商所|            i1909|  20190704|  投机|    卖|        5|      868.500|          895.000|      -500.00|     44750.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       50|     3777.000|         3769.000|      9500.00|    150760.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       76|     3778.000|         3769.000|     14440.00|    229155.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        7|     3770.000|         3769.000|      1330.00|     21106.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        7|     3770.000|         3769.000|      1330.00|     21106.40|
|     上期所|           rb2001|  20190709|  投机|    卖|       18|     3770.000|         3769.000|      3420.00|     54273.60|
|     上期所|           rb2001|  20190709|  投机|    卖|       18|     3770.000|         3769.000|      3420.00|     54273.60|
|     上期所|           rb2001|  20190709|  投机|    卖|       22|     3775.000|         3769.000|      4180.00|     66334.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3775.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|       21|     3775.000|         3769.000|      3990.00|     63319.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3771.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3771.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3771.000|         3769.000|      1140.00|     18091.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3770.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3771.000|         3769.000|       570.00|      9045.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3772.000|         3769.000|      1140.00|     18091.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3773.000|         3769.000|       380.00|      6030.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        8|     3773.000|         3769.000|      1520.00|     24121.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3774.000|         3769.000|       570.00|      9045.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3769.000|       380.00|      6030.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3769.000|       380.00|      6030.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3769.000|       380.00|      6030.40|
|     上期所|           rb2001|  20190709|  投机|    卖|       20|     3774.000|         3769.000|      3800.00|     60304.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       15|     3774.000|         3769.000|      2850.00|     45228.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3775.000|         3769.000|       570.00|      9045.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190711|  投机|    卖|        8|     3765.000|         3769.000|      1520.00|     24121.60|
|     上期所|           rb2001|  20190711|  投机|    卖|        2|     3765.000|         3769.000|       380.00|      6030.40|
|     上期所|           rb2001|  20190717|  投机|    卖|        5|     3800.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3755.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3760.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3765.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3782.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        4|     3781.000|         3769.000|       760.00|     12060.80|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3781.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        1|     3781.000|         3769.000|       190.00|      3015.20|
|     上期所|           rb2001|  20190716|  投机|    卖|        5|     3785.000|         3769.000|       950.00|     15076.00|
|     上期所|           rb2001|  20190717|  投机|    卖|        5|     3808.000|         3769.000|       950.00|     15076.00|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        13015.000|        50.00|      6507.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        13015.000|        75.00|      9761.25|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      894.000|          895.000|      -100.00|      8950.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          895.000|      -200.00|      8950.00|
