                                            结算单 Settlement Statement                                                

账户：0039
日期：20190725
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5912284.64                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5890607.56
平仓盈亏 Realized P/L：              33320.00                  保证金占用 Margin Occupied：       3509860.60
持仓盈亏  MTM P/L：                 -52860.00                  可用资金 Fund Avail.：             2380746.96
手续费 Commission：                   2137.08                  风险度 Risk Degree：                   59.58%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        13250.000|     -1425.00|      9937.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        13250.000|     -4750.00|     33125.00|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        13250.000|      -475.00|      3312.50|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        13250.000|     -4275.00|     29812.50|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        13250.000|     -2375.00|     16562.50|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        13250.000|      -475.00|      3312.50|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        13250.000|      -950.00|      6625.00|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        13250.000|     -1425.00|      9937.50|
|     大商所|            i1909|  20190710|  投机|    卖|        1|      884.500|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      906.000|          862.500|      -300.00|     25875.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      891.500|          862.500|      -300.00|     25875.00|
|     大商所|            i2001|  20190719|  投机|  买  |        9|      767.000|          733.000|     -4500.00|     52776.00|
|     大商所|            i1909|  20190712|  投机|    卖|        7|      880.000|          862.500|      -700.00|     60375.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      894.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190724|  投机|    卖|        3|      852.000|          862.500|      -300.00|     25875.00|
|     大商所|            i2001|  20190724|  投机|  买  |        3|      723.500|          733.000|     -1500.00|     17592.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          733.000|      -500.00|      5864.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          733.000|      -500.00|      5864.00|
|     大商所|            i2001|  20190724|  投机|  买  |        2|      723.500|          733.000|     -1000.00|     11728.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          733.000|      -500.00|      5864.00|
|     大商所|            i2001|  20190722|  投机|  买  |        1|      766.500|          733.000|      -500.00|      5864.00|
|     大商所|            i1909|  20190722|  投机|    卖|        2|      892.500|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190712|  投机|    卖|        2|      873.000|          862.500|      -200.00|     17250.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190717|  投机|    卖|        5|      900.000|          862.500|      -500.00|     43125.00|
|     大商所|            i1909|  20190711|  投机|    卖|       18|      868.500|          862.500|     -1800.00|    155250.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          862.500|      -100.00|      8625.00|
|     大商所|            i1909|  20190711|  投机|    卖|       10|      868.500|          862.500|     -1000.00|     86250.00|
|     大商所|            i1909|  20190704|  投机|    卖|       29|      866.000|          862.500|     -2900.00|    250125.00|
|     大商所|            i1909|  20190704|  投机|    卖|        5|      868.500|          862.500|      -500.00|     43125.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3531.000|      -390.00|      8474.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3531.000|      -390.00|      8474.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3531.000|      -130.00|      2824.80|
