                                            结算单 Settlement Statement                                                

账户：0039
日期：20190729
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5705698.13                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5782075.21
平仓盈亏 Realized P/L：                  0.00                  保证金占用 Margin Occupied：       3932305.40
持仓盈亏  MTM P/L：                  76990.00                  可用资金 Fund Avail.：             1849769.81
手续费 Commission：                    612.92                  风险度 Risk Degree：                   68.01%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        13250.000|      1275.00|      9937.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        13250.000|      4250.00|     33125.00|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        13250.000|       425.00|      3312.50|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        13250.000|      3825.00|     29812.50|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        13250.000|      2125.00|     16562.50|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        13250.000|       425.00|      3312.50|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        13250.000|       850.00|      6625.00|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        13250.000|      1275.00|      9937.50|
|     大商所|            i1909|  20190710|  投机|    卖|        1|      884.500|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      906.000|          885.500|     -1350.00|     26565.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      891.500|          885.500|     -1350.00|     26565.00|
|     大商所|            i2001|  20190719|  投机|  买  |        5|      767.000|          753.500|      4250.00|     30140.00|
|     大商所|            i1909|  20190712|  投机|    卖|        7|      880.000|          885.500|     -3150.00|     61985.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      894.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190726|  投机|    卖|        4|      889.000|          885.500|     -1800.00|     35420.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190724|  投机|    卖|        3|      852.000|          885.500|     -1350.00|     26565.00|
|     大商所|            i2001|  20190724|  投机|  买  |        3|      723.500|          753.500|      2550.00|     18084.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          753.500|       850.00|      6028.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          753.500|       850.00|      6028.00|
|     大商所|            i2001|  20190724|  投机|  买  |        2|      723.500|          753.500|      1700.00|     12056.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          753.500|       850.00|      6028.00|
|     大商所|            i2001|  20190722|  投机|  买  |        1|      766.500|          753.500|       850.00|      6028.00|
|     大商所|            i1909|  20190722|  投机|    卖|        2|      892.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190712|  投机|    卖|        2|      873.000|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190726|  投机|    卖|        2|      890.500|          885.500|      -900.00|     17710.00|
|     大商所|            i1909|  20190717|  投机|    卖|        5|      900.000|          885.500|     -2250.00|     44275.00|
|     大商所|            i1909|  20190711|  投机|    卖|       18|      868.500|          885.500|     -8100.00|    159390.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          885.500|      -450.00|      8855.00|
|     大商所|            i1909|  20190711|  投机|    卖|       10|      868.500|          885.500|     -4500.00|     88550.00|
|     大商所|            i1909|  20190704|  投机|    卖|       29|      866.000|          885.500|    -13050.00|    256795.00|
|     大商所|            i1909|  20190704|  投机|    卖|        5|      868.500|          885.500|     -2250.00|     44275.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3502.000|       870.00|      8404.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3502.000|       870.00|      8404.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3502.000|       290.00|      2801.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3502.000|       290.00|      2801.60|
