                                            结算单 Settlement Statement                                                

账户：0039
日期：20190730
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5782075.21                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5705274.14
平仓盈亏 Realized P/L：               2160.00                  保证金占用 Margin Occupied：       4674502.20
持仓盈亏  MTM P/L：                 -76900.00                  可用资金 Fund Avail.：             1030771.94
手续费 Commission：                   2061.07                  风险度 Risk Degree：                   81.93%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        13145.000|      1575.00|      9858.75|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        13145.000|      5250.00|     32862.50|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        13145.000|       525.00|      3286.25|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        13145.000|      4725.00|     29576.25|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        13145.000|      2625.00|     16431.25|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        13145.000|       525.00|      3286.25|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        13145.000|      1050.00|      6572.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        13145.000|      1575.00|      9858.75|
|     大商所|            i1909|  20190710|  投机|    卖|        1|      884.500|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190710|  投机|    卖|        2|      884.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      906.000|          900.000|     -4350.00|     27000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        3|      891.500|          900.000|     -4350.00|     27000.00|
|     大商所|            i2001|  20190719|  投机|  买  |        3|      767.000|          764.000|      3150.00|     18336.00|
|     大商所|            i1909|  20190712|  投机|    卖|        7|      880.000|          900.000|    -10150.00|     63000.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      894.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190718|  投机|    卖|        1|      893.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190726|  投机|    卖|        4|      889.000|          900.000|     -5800.00|     36000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      892.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190724|  投机|    卖|        3|      852.000|          900.000|     -4350.00|     27000.00|
|     大商所|            i2001|  20190724|  投机|  买  |        3|      723.500|          764.000|      3150.00|     18336.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          764.000|      1050.00|      6112.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          764.000|      1050.00|      6112.00|
|     大商所|            i2001|  20190724|  投机|  买  |        2|      723.500|          764.000|      2100.00|     12224.00|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          764.000|      1050.00|      6112.00|
|     大商所|            i2001|  20190722|  投机|  买  |        1|      766.500|          764.000|      1050.00|      6112.00|
|     大商所|            i1909|  20190722|  投机|    卖|        2|      892.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190712|  投机|    卖|        2|      873.000|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190722|  投机|    卖|        1|      889.000|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190726|  投机|    卖|        2|      890.500|          900.000|     -2900.00|     18000.00|
|     大商所|            i1909|  20190717|  投机|    卖|        5|      900.000|          900.000|     -7250.00|     45000.00|
|     大商所|            i1909|  20190711|  投机|    卖|       18|      868.500|          900.000|    -26100.00|    162000.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          900.000|     -1450.00|      9000.00|
|     大商所|            i1909|  20190711|  投机|    卖|       10|      868.500|          900.000|    -14500.00|     90000.00|
|     大商所|            i1909|  20190704|  投机|    卖|       29|      866.000|          900.000|    -42050.00|    261000.00|
|     大商所|            i1909|  20190704|  投机|    卖|        5|      868.500|          900.000|     -7250.00|     45000.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3492.000|       300.00|      8380.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3492.000|       300.00|      8380.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3492.000|       100.00|      2793.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3492.000|       100.00|      2793.60|
