                                            结算单 Settlement Statement                                                

账户：0039
日期：20190801
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5714914.28                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5743780.93
平仓盈亏 Realized P/L：             -25800.00                  保证金占用 Margin Occupied：       5159524.20
持仓盈亏  MTM P/L：                  59230.00                  可用资金 Fund Avail.：              584256.73
手续费 Commission：                   4563.35                  风险度 Risk Degree：                   89.83%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        13095.000|         0.00|      9821.25|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        13095.000|         0.00|     32737.50|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        13095.000|         0.00|      3273.75|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        13095.000|         0.00|     29463.75|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        13095.000|         0.00|     16368.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        13095.000|         0.00|      3273.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        13095.000|         0.00|      6547.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        13095.000|         0.00|      9821.25|
|     大商所|            i2001|  20190724|  投机|  买  |        1|      723.500|          756.500|     -1900.00|      6052.00|
|     大商所|            i2001|  20190722|  投机|  买  |        1|      766.500|          756.500|     -1900.00|      6052.00|
|     大商所|            i1909|  20190711|  投机|    卖|        1|      868.500|          893.500|      1100.00|      8935.00|
|     大商所|            i1909|  20190704|  投机|    卖|       29|      866.000|          893.500|     31900.00|    259115.00|
|     大商所|            i1909|  20190704|  投机|    卖|        5|      868.500|          893.500|      5500.00|     44675.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3498.000|       330.00|      8395.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3498.000|       330.00|      8395.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        2|     3584.000|         3498.000|       220.00|      5596.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3498.000|       110.00|      2798.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        8|     3735.000|         3639.000|      -800.00|     23289.60|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        4|     3734.000|         3639.000|      -400.00|     11644.80|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3734.000|         3639.000|      -200.00|      5822.40|
