                                            结算单 Settlement Statement                                                

账户：0039
日期：20190802
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5743780.93                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6006406.86
平仓盈亏 Realized P/L：              67400.00                  保证金占用 Margin Occupied：       5127161.95
持仓盈亏  MTM P/L：                 196315.00                  可用资金 Fund Avail.：              879244.91
手续费 Commission：                   1089.07                  风险度 Risk Degree：                   85.36%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190522|  投机|    卖|        3|    13400.000|        12735.000|      5400.00|      9551.25|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13640.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        12735.000|     18000.00|     31837.50|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        12735.000|      1800.00|      3183.75|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        12735.000|     16200.00|     28653.75|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        12735.000|      9000.00|     15918.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        12735.000|      1800.00|      3183.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        12735.000|      3600.00|      6367.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        12735.000|      5400.00|      9551.25|
|     大商所|            i2001|  20190801|  投机|    卖|       32|      753.000|          733.500|     73600.00|    187776.00|
|     大商所|            i2001|  20190801|  投机|    卖|        3|      753.000|          733.500|      6900.00|     17604.00|
|     大商所|            i2001|  20190801|  投机|    卖|        7|      753.000|          733.500|     16100.00|     41076.00|
|     大商所|            i2001|  20190801|  投机|    卖|        3|      753.000|          733.500|      6900.00|     17604.00|
|     大商所|            i2001|  20190801|  投机|    卖|        9|      753.000|          733.500|     20700.00|     52812.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          733.500|      2300.00|      5868.00|
|     大商所|            i2001|  20190801|  投机|    卖|        2|      753.000|          733.500|      4600.00|     11736.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          733.500|      2300.00|      5868.00|
|     大商所|            i2001|  20190801|  投机|    卖|        7|      753.000|          733.500|     16100.00|     41076.00|
|     大商所|            i2001|  20190801|  投机|    卖|        2|      753.000|          733.500|      4600.00|     11736.00|
|     大商所|            i2001|  20190801|  投机|    卖|       10|      753.000|          733.500|     23000.00|     58680.00|
|     大商所|            i2001|  20190801|  投机|    卖|       20|      753.000|          733.500|     46000.00|    117360.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          733.500|      2300.00|      5868.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          733.500|      2300.00|      5868.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          733.500|      2300.00|      5868.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          871.000|    -11250.00|     43550.00|
|     大商所|            i1909|  20190801|  投机|  买  |       10|      893.000|          871.000|    -22500.00|     87100.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          871.000|    -11250.00|     43550.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          871.000|     -2250.00|      8710.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          871.000|     -2250.00|      8710.00|
|     大商所|            i1909|  20190801|  投机|  买  |        6|      893.000|          871.000|    -13500.00|     52260.00|
|     大商所|            i1909|  20190801|  投机|  买  |        3|      893.000|          871.000|     -6750.00|     26130.00|
|     大商所|            i1909|  20190801|  投机|  买  |      100|      893.000|          871.000|   -225000.00|    871000.00|
|     大商所|            i1909|  20190801|  投机|  买  |       14|      893.000|          871.000|    -31500.00|    121940.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3453.000|      1350.00|      8287.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3453.000|      1350.00|      8287.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        2|     3584.000|         3453.000|       900.00|      5524.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3453.000|       450.00|      2762.40|
