                                            结算单 Settlement Statement                                                

账户：0039
日期：20190805
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6006406.86                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：          2000000.00                  期末结存 Balance c/f：             7132753.74
平仓盈亏 Realized P/L：             -18035.00                  保证金占用 Margin Occupied：       5715976.50
持仓盈亏  MTM P/L：                -853730.00                  可用资金 Fund Avail.：             1416777.24
手续费 Commission：                   1888.12                  风险度 Risk Degree：                   80.14%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CF909|  20190529|  投机|    卖|        2|    13665.000|        12475.000|      2600.00|      6237.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13455.000|        12475.000|      2600.00|      6237.50|
|     郑商所|            CF909|  20190530|  投机|    卖|        2|    13460.000|        12475.000|      2600.00|      6237.50|
|     郑商所|            CF909|  20190603|  投机|    卖|       10|    13050.000|        12475.000|     13000.00|     31187.50|
|     郑商所|            CF909|  20190610|  投机|    卖|        1|    13025.000|        12475.000|      1300.00|      3118.75|
|     郑商所|            CF909|  20190617|  投机|    卖|        9|    13430.000|        12475.000|     11700.00|     28068.75|
|     郑商所|            CF909|  20190621|  投机|    卖|        5|    13610.000|        12475.000|      6500.00|     15593.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        1|    13780.000|        12475.000|      1300.00|      3118.75|
|     郑商所|            CF909|  20190703|  投机|    卖|        2|    13780.000|        12475.000|      2600.00|      6237.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        2|    13020.000|        12475.000|      2600.00|      6237.50|
|     郑商所|            CF909|  20190718|  投机|    卖|        3|    13020.000|        12475.000|      3900.00|      9356.25|
|     郑商所|            CF909|  20190802|  投机|    卖|        1|    12710.000|        12475.000|      1300.00|      3118.75|
|     大商所|            i2001|  20190802|  投机|    卖|        7|      735.500|          709.000|     17150.00|     39704.00|
|     大商所|            i2001|  20190802|  投机|    卖|        6|      726.000|          709.000|     14700.00|     34032.00|
|     大商所|            i2001|  20190802|  投机|    卖|        1|      726.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190802|  投机|    卖|        1|      726.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190802|  投机|    卖|        1|      726.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190802|  投机|    卖|        1|      726.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190801|  投机|    卖|       32|      753.000|          709.000|     78400.00|    181504.00|
|     大商所|            i2001|  20190801|  投机|    卖|        3|      753.000|          709.000|      7350.00|     17016.00|
|     大商所|            i2001|  20190801|  投机|    卖|        7|      753.000|          709.000|     17150.00|     39704.00|
|     大商所|            i2001|  20190801|  投机|    卖|        3|      753.000|          709.000|      7350.00|     17016.00|
|     大商所|            i2001|  20190801|  投机|    卖|        9|      753.000|          709.000|     22050.00|     51048.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190801|  投机|    卖|        2|      753.000|          709.000|      4900.00|     11344.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190801|  投机|    卖|        7|      753.000|          709.000|     17150.00|     39704.00|
|     大商所|            i2001|  20190801|  投机|    卖|        2|      753.000|          709.000|      4900.00|     11344.00|
|     大商所|            i2001|  20190801|  投机|    卖|       10|      753.000|          709.000|     24500.00|     56720.00|
|     大商所|            i2001|  20190801|  投机|    卖|       20|      753.000|          709.000|     49000.00|    113440.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          709.000|      2450.00|      5672.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          709.000|      2450.00|      5672.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          833.000|    -19000.00|     41650.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          833.000|    -19000.00|     41650.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          833.000|     -3800.00|      8330.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          833.000|     -3800.00|      8330.00|
|     大商所|            i1909|  20190801|  投机|  买  |        6|      893.000|          833.000|    -22800.00|     49980.00|
|     大商所|            i1909|  20190801|  投机|  买  |        3|      893.000|          833.000|    -11400.00|     24990.00|
|     大商所|            i1909|  20190801|  投机|  买  |      100|      893.000|          833.000|   -380000.00|    833000.00|
|     大商所|            i1909|  20190801|  投机|  买  |       14|      893.000|          833.000|    -53200.00|    116620.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      728.500|          709.000|     12250.00|     28360.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      726.500|          709.000|     12250.00|     28360.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      724.500|          709.000|     12250.00|     28360.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3616.000|         3553.000|       410.00|      2842.40|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3618.000|         3553.000|       410.00|      2842.40|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3617.000|         3553.000|       410.00|      2842.40|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        4|     3469.000|         3435.000|       720.00|     10992.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2001|  20190802|  投机|  买  |       10|     3599.000|         3553.000|     -3200.00|     28424.00|
|     上期所|           hc2001|  20190802|  投机|  买  |        9|     3599.000|         3553.000|     -2880.00|     25581.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        3|     3471.000|         3435.000|       540.00|      8244.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        2|     3599.000|         3553.000|      -640.00|      5684.80|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3553.000|      -320.00|      2842.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3435.000|       180.00|      2748.00|
