                                            结算单 Settlement Statement                                                

账户：0039
日期：20190806
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         7132753.74                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：          1500000.00                  期末结存 Balance c/f：             8248310.65
平仓盈亏 Realized P/L：              91275.00                  保证金占用 Margin Occupied：       5778379.00
持仓盈亏  MTM P/L：                -472200.00                  可用资金 Fund Avail.：             2469931.65
手续费 Commission：                   3518.09                  风险度 Risk Degree：                   70.06%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            i1909|  20190805|  投机|  买  |        2|      848.500|          792.500|     -8100.00|     15850.00|
|     大商所|            i1909|  20190805|  投机|  买  |        1|      848.500|          792.500|     -4050.00|      7925.00|
|     大商所|            i1909|  20190805|  投机|  买  |        7|      848.500|          792.500|    -28350.00|     55475.00|
|     大商所|            i2001|  20190801|  投机|    卖|        4|      753.000|          698.000|      4400.00|     22336.00|
|     大商所|            i2001|  20190801|  投机|    卖|        2|      753.000|          698.000|      2200.00|     11168.00|
|     大商所|            i2001|  20190801|  投机|    卖|       10|      753.000|          698.000|     11000.00|     55840.00|
|     大商所|            i2001|  20190801|  投机|    卖|       20|      753.000|          698.000|     22000.00|    111680.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          698.000|      1100.00|      5584.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          698.000|      1100.00|      5584.00|
|     大商所|            i2001|  20190801|  投机|    卖|        1|      753.000|          698.000|      1100.00|      5584.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          792.500|    -20250.00|     39625.00|
|     大商所|            i1909|  20190801|  投机|  买  |        5|      893.000|          792.500|    -20250.00|     39625.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          792.500|     -4050.00|      7925.00|
|     大商所|            i1909|  20190801|  投机|  买  |        1|      893.000|          792.500|     -4050.00|      7925.00|
|     大商所|            i1909|  20190801|  投机|  买  |        6|      893.000|          792.500|    -24300.00|     47550.00|
|     大商所|            i1909|  20190801|  投机|  买  |        3|      893.000|          792.500|    -12150.00|     23775.00|
|     大商所|            i1909|  20190801|  投机|  买  |      100|      893.000|          792.500|   -405000.00|    792500.00|
|     大商所|            i1909|  20190801|  投机|  买  |       14|      893.000|          792.500|    -56700.00|    110950.00|
|     大商所|            i2001|  20190805|  投机|    卖|        5|      709.000|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190805|  投机|    卖|        5|      698.000|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190805|  投机|    卖|        2|      698.000|          698.000|      2200.00|     11168.00|
|     大商所|            i2001|  20190805|  投机|    卖|        1|      698.000|          698.000|      1100.00|      5584.00|
|     大商所|            i2001|  20190805|  投机|    卖|        2|      698.000|          698.000|      2200.00|     11168.00|
|     大商所|            i2001|  20190805|  投机|    卖|       20|      694.500|          698.000|     22000.00|    111680.00|
|     大商所|            i2001|  20190805|  投机|    卖|        5|      697.000|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190805|  投机|    卖|        5|      693.000|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190805|  投机|    卖|       15|      694.000|          698.000|     16500.00|     83760.00|
|     大商所|            i2001|  20190805|  投机|    卖|        2|      692.500|          698.000|      2200.00|     11168.00|
|     大商所|            i2001|  20190805|  投机|    卖|        2|      693.500|          698.000|      2200.00|     11168.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      728.500|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      726.500|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190802|  投机|    卖|        5|      724.500|          698.000|      5500.00|     27920.00|
|     大商所|            i2001|  20190805|  投机|    卖|        3|      693.500|          698.000|      3300.00|     16752.00|
|     大商所|            i1909|  20190805|  投机|  买  |        5|      805.000|          792.500|    -20250.00|     39625.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3616.000|         3521.000|       320.00|      2816.80|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3618.000|         3521.000|       320.00|      2816.80|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3617.000|         3521.000|       320.00|      2816.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        4|     3469.000|         3411.000|       960.00|     10915.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2001|  20190802|  投机|  买  |       10|     3599.000|         3524.000|     -2900.00|     28192.00|
|     上期所|           hc2001|  20190802|  投机|  买  |        9|     3599.000|         3524.000|     -2610.00|     25372.80|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        3|     3471.000|         3411.000|       720.00|      8186.40|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        2|     3599.000|         3524.000|      -580.00|      5638.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3524.000|      -290.00|      2819.20|
|     上期所|           hc2005|  20190805|  投机|    卖|       10|     3441.000|         3411.000|      2400.00|     27288.00|
|     上期所|           hc2001|  20190805|  投机|  买  |       10|     3557.000|         3524.000|     -2900.00|     28192.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3411.000|       240.00|      2728.80|
