                                            结算单 Settlement Statement                                                

账户：0039
日期：20190807
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         8248310.65                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             7885012.39
平仓盈亏 Realized P/L：            -258900.00                  保证金占用 Margin Occupied：       3167248.00
持仓盈亏  MTM P/L：                 -98300.00                  可用资金 Fund Avail.：             4717764.39
手续费 Commission：                   6098.26                  风险度 Risk Degree：                   40.17%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3616.000|         3505.000|       160.00|      2804.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3618.000|         3505.000|       160.00|      2804.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        1|     3617.000|         3505.000|       160.00|      2804.00|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        4|     3469.000|         3424.000|      -520.00|     10956.80|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3469.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2001|  20190802|  投机|  买  |       10|     3599.000|         3517.000|      -700.00|     28136.00|
|     上期所|           hc2001|  20190802|  投机|  买  |        9|     3599.000|         3517.000|      -630.00|     25322.40|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        3|     3471.000|         3424.000|      -390.00|      8217.60|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190802|  投机|    卖|        1|     3471.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        2|     3599.000|         3517.000|      -140.00|      5627.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3599.000|         3517.000|       -70.00|      2813.60|
|     上期所|           hc2005|  20190805|  投机|    卖|       10|     3441.000|         3424.000|     -1300.00|     27392.00|
|     上期所|           hc2001|  20190805|  投机|  买  |       10|     3557.000|         3517.000|      -700.00|     28136.00|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3424.000|      -390.00|      8217.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        3|     3583.000|         3424.000|      -390.00|      8217.60|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3583.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        2|     3584.000|         3424.000|      -260.00|      5478.40|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           hc2005|  20190718|  投机|    卖|        1|     3584.000|         3424.000|      -130.00|      2739.20|
|     上期所|           rb2001|  20190805|  投机|    卖|        9|     3542.000|         3505.000|      1440.00|     25236.00|
