                                            结算单 Settlement Statement                                                

账户：0039
日期：20190812
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         8218535.77                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             8575440.52
平仓盈亏 Realized P/L：             133350.00                  保证金占用 Margin Occupied：       2165952.00
持仓盈亏  MTM P/L：                 225300.00                  可用资金 Fund Avail.：             6409488.52
手续费 Commission：                   1745.25                  风险度 Risk Degree：                   25.26%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            i1909|  20190807|  投机|    卖|       12|      756.500|          713.000|     40200.00|     85560.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i1909|  20190807|  投机|    卖|        2|      750.500|          713.000|      6700.00|     14260.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          713.000|      3350.00|      7130.00|
|     大商所|            i2001|  20190809|  投机|    卖|        5|      628.000|          625.000|     10250.00|     25000.00|
|     大商所|            i2001|  20190808|  投机|    卖|        1|      660.000|          625.000|      2050.00|      5000.00|
|     大商所|            i2001|  20190808|  投机|    卖|        6|      660.000|          625.000|     12300.00|     30000.00|
|     大商所|            i2001|  20190808|  投机|    卖|        8|      661.000|          625.000|     16400.00|     40000.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        2|     3511.000|         3470.000|       160.00|      5552.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        3|     3511.000|         3470.000|       240.00|      8328.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        1|     3511.000|         3470.000|        80.00|      2776.00|
|     上期所|           hc2001|  20190809|  投机|    卖|       37|     3511.000|         3470.000|      2960.00|    102712.00|
|     上期所|           hc2001|  20190809|  投机|    卖|       50|     3512.000|         3470.000|      4000.00|    138800.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        7|     3513.000|         3470.000|       560.00|     19432.00|
|     上期所|           hc2001|  20190809|  投机|    卖|       10|     3513.000|         3470.000|       800.00|     27760.00|
|     上期所|           rb2001|  20190805|  投机|    卖|        7|     3542.000|         3405.000|      2590.00|     19068.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        5|     3574.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3771.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3771.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3771.000|         3405.000|      2220.00|     16344.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3770.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3771.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3772.000|         3405.000|      2220.00|     16344.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3773.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        8|     3773.000|         3405.000|      2960.00|     21792.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3774.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       20|     3774.000|         3405.000|      7400.00|     54480.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       15|     3774.000|         3405.000|      5550.00|     40860.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3775.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190711|  投机|    卖|        8|     3765.000|         3405.000|      2960.00|     21792.00|
|     上期所|           rb2001|  20190711|  投机|    卖|        2|     3765.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3659.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        3|     3653.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190717|  投机|    卖|        5|     3800.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        5|     3651.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3653.000|         3405.000|      1110.00|      8172.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        2|     3653.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3405.000|       370.00|      2724.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        5|     3683.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3405.000|       740.00|      5448.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3755.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3760.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3765.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190731|  投机|    卖|        5|     3654.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3782.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        4|     3781.000|         3405.000|      1480.00|     10896.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3781.000|         3405.000|      1850.00|     13620.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        1|     3781.000|         3405.000|       370.00|      2724.00|
