                                            结算单 Settlement Statement                                                

账户：0039
日期：20190814
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         8335579.14                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             8066269.09
平仓盈亏 Realized P/L：             -88960.00                  保证金占用 Margin Occupied：       2228461.60
持仓盈亏  MTM P/L：                -179200.00                  可用资金 Fund Avail.：             5837807.49
手续费 Commission：                   1150.05                  风险度 Risk Degree：                   27.63%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            i2001|  20190812|  投机|    卖|        2|      623.000|          636.000|     -1800.00|     10176.00|
|     大商所|            i2001|  20190812|  投机|    卖|        1|      623.000|          636.000|      -900.00|      5088.00|
|     大商所|            i2001|  20190812|  投机|    卖|        5|      623.000|          636.000|     -4500.00|     25440.00|
|     大商所|            i2001|  20190812|  投机|    卖|       22|      623.000|          636.000|    -19800.00|    111936.00|
|     大商所|            i2001|  20190812|  投机|    卖|        5|      624.000|          636.000|     -4500.00|     25440.00|
|     大商所|            i2001|  20190812|  投机|    卖|        3|      613.000|          636.000|     -2700.00|     15264.00|
|     大商所|            i2001|  20190812|  投机|    卖|       27|      613.000|          636.000|    -24300.00|    137376.00|
|     大商所|            i1909|  20190807|  投机|    卖|       12|      756.500|          727.500|    -14400.00|     87300.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i1909|  20190807|  投机|    卖|        2|      750.500|          727.500|     -2400.00|     14550.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i1909|  20190807|  投机|    卖|        1|      750.500|          727.500|     -1200.00|      7275.00|
|     大商所|            i2001|  20190813|  投机|    卖|       10|      623.500|          636.000|     -9000.00|     50880.00|
|     大商所|            i2001|  20190809|  投机|    卖|        5|      628.000|          636.000|     -4500.00|     25440.00|
|     大商所|            i2001|  20190808|  投机|    卖|        1|      660.000|          636.000|      -900.00|      5088.00|
|     大商所|            i2001|  20190808|  投机|    卖|        6|      660.000|          636.000|     -5400.00|     30528.00|
|     大商所|            i2001|  20190808|  投机|    卖|        8|      661.000|          636.000|     -7200.00|     40704.00|
|     上期所|           hc2001|  20190809|  投机|    卖|       46|     3512.000|         3514.000|     -5980.00|    129315.20|
|     上期所|           hc2001|  20190809|  投机|    卖|        7|     3513.000|         3514.000|      -910.00|     19678.40|
|     上期所|           hc2001|  20190809|  投机|    卖|       10|     3513.000|         3514.000|     -1300.00|     28112.00|
|     上期所|           rb2001|  20190805|  投机|    卖|        7|     3542.000|         3463.000|      -910.00|     19392.80|
|     上期所|           rb2001|  20190802|  投机|    卖|        5|     3574.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3771.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3771.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3771.000|         3463.000|      -780.00|     16622.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3770.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3771.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3772.000|         3463.000|      -780.00|     16622.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3773.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        8|     3773.000|         3463.000|     -1040.00|     22163.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3774.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190709|  投机|    卖|       20|     3774.000|         3463.000|     -2600.00|     55408.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       15|     3774.000|         3463.000|     -1950.00|     41556.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3775.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190711|  投机|    卖|        8|     3765.000|         3463.000|     -1040.00|     22163.20|
|     上期所|           rb2001|  20190711|  投机|    卖|        2|     3765.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3659.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        3|     3653.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190717|  投机|    卖|        5|     3800.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        5|     3651.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3653.000|         3463.000|      -390.00|      8311.20|
|     上期所|           rb2001|  20190730|  投机|    卖|        2|     3653.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190724|  投机|    卖|        5|     3683.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3463.000|      -260.00|      5540.80|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3755.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3760.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3765.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190731|  投机|    卖|        5|     3654.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3782.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        4|     3781.000|         3463.000|      -520.00|     11081.60|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3781.000|         3463.000|      -650.00|     13852.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        1|     3781.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190726|  投机|    卖|        1|     3675.000|         3463.000|      -130.00|      2770.40|
|     上期所|           rb2001|  20190726|  投机|    卖|        8|     3675.000|         3463.000|     -1040.00|     22163.20|
