                                            结算单 Settlement Statement                                                

账户：0039
日期：20190815
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         8066269.09                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             8138092.10
平仓盈亏 Realized P/L：              -7280.00                  保证金占用 Margin Occupied：       2449596.80
持仓盈亏  MTM P/L：                  80230.00                  可用资金 Fund Avail.：             5688495.30
手续费 Commission：                   1126.99                  风险度 Risk Degree：                   30.10%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            i2001|  20190812|  投机|    卖|        2|      623.000|          626.000|      2000.00|     10016.00|
|     大商所|            i2001|  20190812|  投机|    卖|        1|      623.000|          626.000|      1000.00|      5008.00|
|     大商所|            i2001|  20190812|  投机|    卖|        5|      623.000|          626.000|      5000.00|     25040.00|
|     大商所|            i2001|  20190812|  投机|    卖|       22|      623.000|          626.000|     22000.00|    110176.00|
|     大商所|            i2001|  20190812|  投机|    卖|        5|      624.000|          626.000|      5000.00|     25040.00|
|     大商所|            i2001|  20190812|  投机|    卖|        3|      613.000|          626.000|      3000.00|     15024.00|
|     大商所|            i2001|  20190812|  投机|    卖|       27|      613.000|          626.000|     27000.00|    135216.00|
|     大商所|            i2001|  20190813|  投机|    卖|       10|      623.500|          626.000|     10000.00|     50080.00|
|     大商所|            i2001|  20190809|  投机|    卖|        5|      628.000|          626.000|      5000.00|     25040.00|
|     大商所|            i2001|  20190808|  投机|    卖|        1|      660.000|          626.000|      1000.00|      5008.00|
|     大商所|            i2001|  20190808|  投机|    卖|        6|      660.000|          626.000|      6000.00|     30048.00|
|     大商所|            i2001|  20190808|  投机|    卖|        8|      661.000|          626.000|      8000.00|     40064.00|
|     大商所|            i2001|  20190814|  投机|    卖|        1|      633.000|          626.000|      1000.00|      5008.00|
|     大商所|            i2001|  20190814|  投机|    卖|        3|      633.000|          626.000|      3000.00|     15024.00|
|     大商所|            i2001|  20190814|  投机|    卖|        4|      633.000|          626.000|      4000.00|     20032.00|
|     大商所|            i2001|  20190814|  投机|    卖|        1|      633.000|          626.000|      1000.00|      5008.00|
|     大商所|            i2001|  20190814|  投机|    卖|        4|      633.000|          626.000|      4000.00|     20032.00|
|     大商所|            i2001|  20190814|  投机|    卖|        1|      633.000|          626.000|      1000.00|      5008.00|
|     大商所|            i2001|  20190814|  投机|    卖|       16|      633.000|          626.000|     16000.00|     80128.00|
|     大商所|            i2001|  20190814|  投机|    卖|       10|      632.500|          626.000|     10000.00|     50080.00|
|     上期所|           hc2001|  20190809|  投机|    卖|       28|     3512.000|         3522.000|     -2240.00|     78892.80|
|     上期所|           hc2001|  20190809|  投机|    卖|        7|     3513.000|         3522.000|      -560.00|     19723.20|
|     上期所|           hc2001|  20190809|  投机|    卖|       10|     3513.000|         3522.000|      -800.00|     28176.00|
|     上期所|           rb2001|  20190805|  投机|    卖|        5|     3542.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190802|  投机|    卖|        5|     3574.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3771.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3771.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3771.000|         3462.000|        60.00|     16617.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        5|     3770.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3771.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3772.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        6|     3772.000|         3462.000|        60.00|     16617.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3773.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        8|     3773.000|         3462.000|        80.00|     22156.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3774.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3774.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190709|  投机|    卖|        2|     3774.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190709|  投机|    卖|       20|     3774.000|         3462.000|       200.00|     55392.00|
|     上期所|           rb2001|  20190709|  投机|    卖|       15|     3774.000|         3462.000|       150.00|     41544.00|
|     上期所|           rb2001|  20190709|  投机|    卖|        3|     3775.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190709|  投机|    卖|        1|     3775.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190711|  投机|    卖|        8|     3765.000|         3462.000|        80.00|     22156.80|
|     上期所|           rb2001|  20190711|  投机|    卖|        2|     3765.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3658.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3659.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190730|  投机|    卖|        1|     3659.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        3|     3653.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190729|  投机|    卖|        1|     3653.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190717|  投机|    卖|        5|     3800.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190729|  投机|    卖|        5|     3651.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190730|  投机|    卖|        3|     3653.000|         3462.000|        30.00|      8308.80|
|     上期所|           rb2001|  20190730|  投机|    卖|        2|     3653.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190724|  投机|    卖|        1|     3683.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190724|  投机|    卖|        5|     3683.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190724|  投机|    卖|        2|     3683.000|         3462.000|        20.00|      5539.20|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3755.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3760.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3765.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190731|  投机|    卖|        5|     3654.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3782.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        4|     3781.000|         3462.000|        40.00|     11078.40|
|     上期所|           rb2001|  20190715|  投机|    卖|        5|     3781.000|         3462.000|        50.00|     13848.00|
|     上期所|           rb2001|  20190715|  投机|    卖|        1|     3781.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190726|  投机|    卖|        1|     3675.000|         3462.000|        10.00|      2769.60|
|     上期所|           rb2001|  20190726|  投机|    卖|        8|     3675.000|         3462.000|        80.00|     22156.80|
|     上期所|           rb2001|  20190726|  投机|    卖|        1|     3675.000|         3462.000|        10.00|      2769.60|
