                                            结算单 Settlement Statement                                                

账户：0039
日期：20191017
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6718524.54                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6904998.20
平仓盈亏 Realized P/L：              62300.00                  保证金占用 Margin Occupied：       1659971.20
持仓盈亏  MTM P/L：                 128840.00                  可用资金 Fund Avail.：             5245027.00
手续费 Commission：                   4666.34                  风险度 Risk Degree：                   24.04%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            i2001|  20191014|  投机|    卖|       15|      641.000|          611.500|     26250.00|     73380.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        2|      641.000|          611.500|      3500.00|      9784.00|
|     大商所|            i2001|  20191014|  投机|    卖|        2|      641.000|          611.500|      3500.00|      9784.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20191014|  投机|    卖|        2|      641.000|          611.500|      3500.00|      9784.00|
|     大商所|            i2001|  20191014|  投机|    卖|        4|      641.000|          611.500|      7000.00|     19568.00|
|     大商所|            i2001|  20191016|  投机|    卖|       20|      619.000|          611.500|     35000.00|     97840.00|
|     大商所|            i2001|  20191014|  投机|    卖|       10|      639.500|          611.500|     17500.00|     48920.00|
|     大商所|            i2001|  20190926|  投机|    卖|        7|      637.500|          611.500|     12250.00|     34244.00|
|     大商所|            i2001|  20190919|  投机|    卖|       10|      637.000|          611.500|     17500.00|     48920.00|
|     大商所|            i2001|  20190919|  投机|    卖|       10|      636.500|          611.500|     17500.00|     48920.00|
|     大商所|            i2001|  20190919|  投机|    卖|        2|      637.000|          611.500|      3500.00|      9784.00|
|     大商所|            i2001|  20190919|  投机|    卖|        1|      637.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20190919|  投机|    卖|        3|      637.000|          611.500|      5250.00|     14676.00|
|     大商所|            i2001|  20190919|  投机|    卖|        1|      637.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20190919|  投机|    卖|        1|      637.000|          611.500|      1750.00|      4892.00|
|     大商所|            i2001|  20190919|  投机|    卖|        2|      637.000|          611.500|      3500.00|      9784.00|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191008|  投机|    卖|        3|     3424.000|         3304.000|       570.00|      7929.60|
|     上期所|           rb2001|  20191008|  投机|    卖|        1|     3424.000|         3304.000|       190.00|      2643.20|
|     上期所|           hc2001|  20190809|  投机|    卖|       25|     3512.000|         3297.000|      4250.00|     65940.00|
|     上期所|           hc2001|  20190809|  投机|    卖|        7|     3513.000|         3297.000|      1190.00|     18463.20|
|     上期所|           hc2001|  20190809|  投机|    卖|       10|     3513.000|         3297.000|      1700.00|     26376.00|
|     上期所|           rb2001|  20191008|  投机|    卖|       10|     3409.000|         3304.000|      1900.00|     26432.00|
|     上期所|           rb2001|  20191008|  投机|    卖|       10|     3410.000|         3304.000|      1900.00|     26432.00|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3326.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3326.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3327.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20190927|  投机|    卖|        1|     3433.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20190927|  投机|    卖|        3|     3433.000|         3304.000|       570.00|      7929.60|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3349.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3350.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3350.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3351.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3351.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3352.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3353.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3353.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3352.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3350.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3350.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3349.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3349.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3350.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3346.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3345.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3344.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3345.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3345.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191015|  投机|    卖|        1|     3345.000|         3304.000|       190.00|      2643.20|
|     上期所|           hc2001|  20190718|  投机|  买  |        2|     3702.000|         3297.000|      -340.00|      5275.20|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        1|     3586.000|         3297.000|      -170.00|      2637.60|
|     上期所|           hc2001|  20190802|  投机|  买  |        4|     3586.000|         3297.000|      -680.00|     10550.40|
|     上期所|           rb2001|  20191014|  投机|    卖|       12|     3362.000|         3304.000|      2280.00|     31718.40|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        2|     3362.000|         3304.000|       380.00|      5286.40|
|     上期所|           rb2001|  20191014|  投机|    卖|        1|     3362.000|         3304.000|       190.00|      2643.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        6|     3362.000|         3304.000|      1140.00|     15859.20|
|     上期所|           rb2001|  20191014|  投机|    卖|        3|     3362.000|         3304.000|       570.00|      7929.60|
|     上期所|           rb2001|  20191014|  投机|    卖|        4|     3362.000|         3304.000|       760.00|     10572.80|
|     上期所|           hc2001|  20190718|  投机|  买  |        5|     3703.000|         3297.000|      -850.00|     13188.00|
|     上期所|           hc2001|  20190718|  投机|  买  |        5|     3700.000|         3297.000|      -850.00|     13188.00|
|     上期所|           hc2001|  20190718|  投机|  买  |        1|     3693.000|         3297.000|      -170.00|      2637.60|
