                                            结算单 Settlement Statement                                                

账户：0039
日期：20191023
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         7159034.54                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             7061714.54
平仓盈亏 Realized P/L：                  0.00                  保证金占用 Margin Occupied：       2046076.80
持仓盈亏  MTM P/L：                 -97320.00                  可用资金 Fund Avail.：             5015637.74
手续费 Commission：                      0.00                  风险度 Risk Degree：                   28.97%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            FG001|  20191017|  投机|    卖|       19|     1442.000|         1508.000|     -1900.00|     28652.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1442.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1442.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1442.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1442.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1442.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        3|     1442.000|         1508.000|      -300.00|      4524.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        9|     1442.000|         1508.000|      -900.00|     13572.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1443.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        5|     1443.000|         1508.000|      -500.00|      7540.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1443.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1443.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        9|     1443.000|         1508.000|      -900.00|     13572.00|
|     郑商所|            FG001|  20191017|  投机|    卖|       20|     1439.000|         1508.000|     -2000.00|     30160.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        5|     1439.000|         1508.000|      -500.00|      7540.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1439.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1439.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        4|     1439.000|         1508.000|      -400.00|      6032.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1439.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1439.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1439.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        8|     1439.000|         1508.000|      -800.00|     12064.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1439.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        6|     1438.000|         1508.000|      -600.00|      9048.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1438.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        2|     1438.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1438.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1438.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        1|     1438.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191017|  投机|    卖|        7|     1438.000|         1508.000|      -700.00|     10556.00|
|     郑商所|            FG001|  20191017|  投机|    卖|       10|     1437.000|         1508.000|     -1000.00|     15080.00|
|     郑商所|            FG001|  20191018|  投机|  买  |      219|     1435.000|         1508.000|     21900.00|    330252.00|
|     郑商所|            FG001|  20191018|  投机|  买  |      100|     1435.000|         1508.000|     10000.00|    150800.00|
|     郑商所|            FG001|  20191018|  投机|  买  |      100|     1435.000|         1508.000|     10000.00|    150800.00|
|     郑商所|            FG001|  20191018|  投机|  买  |       41|     1435.000|         1508.000|      4100.00|     61828.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1458.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191018|  投机|    卖|        1|     1459.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        1|     1505.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        1|     1505.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        1|     1505.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        2|     1505.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        1|     1505.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|       13|     1505.000|         1508.000|     -1300.00|     19604.00|
|     郑商所|            FG001|  20191021|  投机|    卖|       20|     1505.000|         1508.000|     -2000.00|     30160.00|
|     郑商所|            FG001|  20191021|  投机|    卖|       20|     1505.000|         1508.000|     -2000.00|     30160.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        1|     1505.000|         1508.000|      -100.00|      1508.00|
|     郑商所|            FG001|  20191021|  投机|    卖|       20|     1505.000|         1508.000|     -2000.00|     30160.00|
|     郑商所|            FG001|  20191021|  投机|    卖|        2|     1505.000|         1508.000|      -200.00|      3016.00|
|     郑商所|            FG001|  20191021|  投机|    卖|       18|     1505.000|         1508.000|     -1800.00|     27144.00|
|     大商所|            i2001|  20191018|  投机|    卖|        2|      600.000|          622.000|     -1800.00|      9952.00|
|     大商所|            i2001|  20191018|  投机|    卖|       14|      600.000|          622.000|    -12600.00|     69664.00|
|     大商所|            i2001|  20191018|  投机|    卖|        5|      615.000|          622.000|     -4500.00|     24880.00|
|     大商所|            i2001|  20191018|  投机|    卖|        4|      615.500|          622.000|     -3600.00|     19904.00|
|     大商所|            i2001|  20191018|  投机|    卖|        1|      615.500|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        1|      641.000|          622.000|      -900.00|      4976.00|
|     大商所|            i2001|  20191014|  投机|    卖|        2|      641.000|          622.000|     -1800.00|      9952.00|
|     大商所|            i2001|  20191014|  投机|    卖|        4|      641.000|          622.000|     -3600.00|     19904.00|
