                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190401
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190401


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 28098112.09  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：              -960.00  期末结存 Balance c/f：               27817596.23
平仓盈亏 Realized P/L：                   33415.00  质 押 金 Pledge Amount：              4864000.00
持仓盯市盈亏 MTM P/L：                  -241200.00  客户权益 Client Equity：：           27817596.23
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      3585.86  保证金占用 Margin Occupied：         17154219.53
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     642720.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      27174876.23
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               10663376.70
权利金收入 Premium received：             55925.00  风 险 度 Risk Degree：                    61.67%
权利金支出 Premium paid：                124110.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190401|出入金                  |            0.00|          960.00|8001888888 仓储费/仓租费 出金: 960        |
----------------------------------------------------------------------------------------------------------------
|共   1条|                        |            0.00|          960.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                      质押明细 Warrant Pledge  
----------------------------------------------------------------------
| 交易日期 |质押品种代码|  质押品种名称  | 质押数量 |    质押金额    |
|Trans.Date|    Code    |      Name      |   Qty    |     Amount     |
----------------------------------------------------------------------
|20190401  |CF          |一号棉花          |        80|      4864000.00|
----------------------------------------------------------------------

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190401|大商所  |黄大豆1号         |     a1909      |   卖|投机        |  3406.000|     1|    34060.00|开                |      2.02|        0.00|                 0.00|10383629    |
|20190401|大商所  |黄玉米            |     c1909      |买   |投机        |  1843.000|     5|    92150.00|  平              |      6.06|     -200.00|                 0.00|10387296    |
|20190401|大商所  |焦煤              |     jm1909     |   卖|投机        |  1334.000|    20|  1600800.00|开                |    289.10|        0.00|                 0.00|30609266    |
|20190401|大商所  |焦煤              |     jm1909     |   卖|投机        |  1334.000|     5|   400200.00|开                |     72.28|        0.00|                 0.00|30609282    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1334.000|     1|    80040.00|开                |      4.85|        0.00|                 0.00|30610373    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1334.000|     1|    80040.00|开                |      4.85|        0.00|                 0.00|30610639    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1334.000|     1|    80040.00|开                |      4.85|        0.00|                 0.00|30610705    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1334.000|     1|    80040.00|开                |      4.85|        0.00|                 0.00|30610735    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1334.000|     8|   640320.00|开                |     38.80|        0.00|                 0.00|30611602    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     3|   240570.00|  平              |     43.45|     -450.00|                 0.00|30622222    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     2|   160380.00|  平              |     28.96|     -300.00|                 0.00|30622223    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     1|    80190.00|  平              |     14.48|     -150.00|                 0.00|30622224    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     3|   240570.00|  平              |     43.45|     -450.00|                 0.00|30622225    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     1|    80190.00|  平              |     14.48|     -150.00|                 0.00|30622226    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|     1|    80190.00|  平              |     14.48|     -150.00|                 0.00|30622229    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.500|    14|  1122660.00|  平              |    202.75|    -2100.00|                 0.00|30622242    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.000|     1|    80160.00|开                |      4.86|        0.00|                 0.00|30623301    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.000|     3|   240480.00|开                |     14.57|        0.00|                 0.00|30623302    |
|20190401|大商所  |焦煤              |     jm1909     |买   |投机        |  1336.000|     9|   721440.00|开                |     43.72|        0.00|                 0.00|30623330    |
|20190401|大商所  |聚丙烯            |     pp1905     |   卖|投机        |  8680.000|     9|   390600.00|开                |     23.67|        0.00|                 0.00|30342723    |
|20190401|大商所  |聚丙烯            |     pp1905     |   卖|投机        |  8680.000|     1|    43400.00|开                |      2.63|        0.00|                 0.00|30342724    |
|20190401|大商所  |聚丙烯            |     pp1905     |   卖|投机        |  8679.000|     1|    43395.00|开                |      2.63|        0.00|                 0.00|30342725    |
