                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190408
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190408


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 27776266.79  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               27863223.69
平仓盈亏 Realized P/L：                  -16690.00  质 押 金 Pledge Amount：              4864000.00
持仓盯市盈亏 MTM P/L：                    91930.00  客户权益 Client Equity：：           27863223.69
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      4308.10  保证金占用 Margin Occupied：         20552645.73
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     686485.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      27176738.69
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                7310577.96
权利金收入 Premium received：             16025.00  风 险 度 Risk Degree：                    73.76%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                      质押明细 Warrant Pledge  
----------------------------------------------------------------------
| 交易日期 |质押品种代码|  质押品种名称  | 质押数量 |    质押金额    |
|Trans.Date|    Code    |      Name      |   Qty    |     Amount     |
----------------------------------------------------------------------
|20190408  |CF          |一号棉花          |        80|      4864000.00|
----------------------------------------------------------------------

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190408|大商所  |豆油              |     y1909      |买   |投机        |  5606.000|     1|    56060.00|开                |      2.53|        0.00|                 0.00|10376273    |
|20190408|大商所  |豆油              |     y1909      |买   |投机        |  5606.000|     1|    56060.00|开                |      2.53|        0.00|                 0.00|10376274    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1350.000|    10|   810000.00|开                |     49.09|        0.00|                 0.00|30716763    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1350.500|     1|    81030.00|  平              |      4.91|    -1050.00|                 0.00|30740824    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1350.000|     1|    81000.00|  平              |      4.91|    -1020.00|                 0.00|30740866    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1350.500|     1|    81030.00|开                |      4.91|        0.00|                 0.00|30741868    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1353.000|     1|    81180.00|开                |      4.92|        0.00|                 0.00|30765848    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1353.000|     1|    81180.00|开                |      4.92|        0.00|                 0.00|30766159    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1352.500|     1|    81150.00|开                |      4.92|        0.00|                 0.00|30766744    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1352.500|     1|    81150.00|开                |      4.92|        0.00|                 0.00|30769408    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1354.500|     1|    81270.00|开                |      4.92|        0.00|                 0.00|30791514    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1354.500|     1|    81270.00|开                |      4.92|        0.00|                 0.00|30804807    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1354.000|     1|    81240.00|开                |      4.92|        0.00|                 0.00|30890643    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1355.000|     1|    81300.00|开                |      4.93|        0.00|                 0.00|30893684    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1355.500|     1|    81330.00|开                |      4.93|        0.00|                 0.00|30895167    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1362.500|     1|    81750.00|开                |      4.95|        0.00|                 0.00|30912886    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1362.500|     1|    81750.00|开                |      4.95|        0.00|                 0.00|30915616    |
|20190408|大商所  |焦煤              |     jm1909     |买   |投机        |  1361.500|     1|    81690.00|开                |      4.95|        0.00|                 0.00|30918253    |
