                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190521
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190521


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 26352549.24  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：           1038388.40  期末结存 Balance c/f：               27434839.73
平仓盈亏 Realized P/L：                      50.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                    33655.00  客户权益 Client Equity：：           27434839.73
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1182.91  保证金占用 Margin Occupied：          6010278.25
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     784460.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      26650379.73
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               21424561.48
权利金收入 Premium received：             11380.00  风 险 度 Risk Degree：                    21.91%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190521|出入金                  |      1038388.40|            0.00|8001888888 交割货款 入金: 1038388.4       |
----------------------------------------------------------------------------------------------------------------
|共   1条|                        |      1038388.40|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2763.000|     1|    27630.00|  平              |      1.52|      310.00|                 0.00|10258697    |
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2763.000|     2|    55260.00|  平              |      3.03|      620.00|                 0.00|10258698    |
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2763.000|     1|    27630.00|  平              |      1.52|      310.00|                 0.00|10258699    |
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2763.000|     1|    27630.00|  平              |      1.52|      310.00|                 0.00|10258700    |
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2763.000|     5|   138150.00|  平              |      7.58|     1550.00|                 0.00|10258701    |
|20190521|大商所  |豆粕              |     m1909      |   卖|投机        |  2785.000|    10|   278500.00|  平              |     15.17|     5300.00|                 0.00|10636090    |
|20190521|大商所  |黄玉米            |     c1909      |买   |投机        |  1996.000|    10|   199600.00|开                |     12.12|        0.00|                 0.00|10459971    |
|20190521|大商所  |黄玉米            |     c1909      |买   |投机        |  1996.000|     2|    39920.00|开                |      2.42|        0.00|                 0.00|10714367    |
|20190521|大商所  |黄玉米            |     c1909      |买   |投机        |  1996.000|    18|   359280.00|开                |     21.82|        0.00|                 0.00|10714369    |
|20190521|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8428.000|    10|   421400.00|开                |     12.89|        0.00|                 0.00|30358557    |
|20190521|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8443.000|    10|   422150.00|开                |     12.92|        0.00|                 0.00|30364575    |
|20190521|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8459.000|    11|   465245.00|开                |     14.24|        0.00|                 0.00|30686853    |
|20190521|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8459.000|     5|   211475.00|开                |      6.47|        0.00|                 0.00|30686855    |
|20190521|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8459.000|     4|   169180.00|开                |      5.18|        0.00|                 0.00|30686857    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8457.000|     4|   169140.00|  平              |      5.18|     -580.00|                 0.00|30741866    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8457.000|     5|   211425.00|  平              |      6.47|     -725.00|                 0.00|30742575    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8457.000|     1|    42285.00|  平              |      1.29|     -145.00|                 0.00|30742950    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8457.000|     1|    42285.00|  平              |      1.29|      -70.00|                 0.00|30742956    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8457.000|     9|   380565.00|  平              |     11.65|     -630.00|                 0.00|30742980    |
|20190521|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8469.000|     1|    42345.00|  平              |      1.30|      -50.00|                 0.00|30782560    |
