                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190524
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190524


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 27971972.17  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：          -3973756.83  期末结存 Balance c/f：               24011379.40
平仓盈亏 Realized P/L：                   55275.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                    90530.00  客户权益 Client Equity：：           24011379.40
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      2510.94  保证金占用 Margin Occupied：          9026131.37
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     897100.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      23114279.40
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               14985248.03
权利金收入 Premium received：              9590.00  风 险 度 Risk Degree：                    37.59%
权利金支出 Premium paid：                139720.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190524|银期转账                |            0.00|      3973756.83|银期转账自动凭证(出金)3973756.83          |
----------------------------------------------------------------------------------------------------------------
|共   1条|                        |            0.00|      3973756.83|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8260.000|    10|   413000.00|开                |     12.64|        0.00|                 0.00|30148185    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8260.000|    10|   413000.00|开                |     12.64|        0.00|                 0.00|30154024    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8262.000|    10|   413100.00|  平              |     12.64|    -3050.00|                 0.00|30166272    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8232.000|     6|   246960.00|  平              |      7.56|      840.00|                 0.00|30185531    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8232.000|     1|    41160.00|  平              |      1.26|      140.00|                 0.00|30185536    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8232.000|     3|   123480.00|  平              |      3.78|      420.00|                 0.00|30185780    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8233.000|     9|   370485.00|开                |     11.34|        0.00|                 0.00|30975218    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8233.000|     1|    41165.00|开                |      1.26|        0.00|                 0.00|30975311    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8233.000|     2|    82330.00|开                |      2.52|        0.00|                 0.00|30975388    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8233.000|     6|   246990.00|开                |      7.56|        0.00|                 0.00|30975417    |
|20190524|大商所  |聚丙烯            |     pp1909     |   卖|投机        |  8233.000|     2|    82330.00|开                |      2.52|        0.00|                 0.00|30975419    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8224.000|    11|   452320.00|  平              |     13.84|      495.00|                 0.00|30981961    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8224.000|     3|   123360.00|  平              |      3.77|      135.00|                 0.00|30981962    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8224.000|     1|    41120.00|  平              |      1.26|       45.00|                 0.00|30981965    |
|20190524|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8224.000|     5|   205600.00|  平              |      6.29|      225.00|                 0.00|30982035    |
|20190524|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7770.000|    10|   388500.00|开                |     20.23|        0.00|                 0.00|30145524    |
|20190524|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7755.000|    10|   387750.00|  平              |      0.23|    -4750.00|                 0.00|30213347    |
|20190524|大商所  |乙二醇            |     eg1909     |买   |投机        |  4439.000|     1|    44390.00|  平              |      4.03|     -350.00|                 0.00|30286027    |
|20190524|大商所  |乙二醇            |     eg1909     |买   |投机        |  4439.000|     2|    88780.00|  平              |      8.05|     -700.00|                 0.00|30286028    |
