                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190603
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190603


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 23717385.75  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：             -3168.00  期末结存 Balance c/f：               23701200.11
平仓盈亏 Realized P/L：                   41855.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   -80915.00  客户权益 Client Equity：：           23701200.11
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1807.64  保证金占用 Margin Occupied：         13083465.52
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     998565.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      22702635.11
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               10617734.59
权利金收入 Premium received：             27910.00  风 险 度 Risk Degree：                    55.20%
权利金支出 Premium paid：                    60.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190603|出入金                  |            0.00|         3168.00|8001888888 仓储费/仓租费 出金: 3168       |
----------------------------------------------------------------------------------------------------------------
|共   1条|                        |            0.00|         3168.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8148.000|     1|    40740.00|  平              |      2.47|      445.00|                 0.00|30430572    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8149.000|     1|    40745.00|  平              |      2.47|      440.00|                 0.00|30430600    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8149.000|     1|    40745.00|  平              |      2.47|      440.00|                 0.00|30430682    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8147.000|     1|    40735.00|  平              |      2.47|      450.00|                 0.00|30430732    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8144.000|     1|    40720.00|  平              |      2.47|      465.00|                 0.00|30432271    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8144.000|     1|    40720.00|  平              |      2.47|      465.00|                 0.00|30432365    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8143.000|     1|    40715.00|  平              |      2.47|      470.00|                 0.00|30432390    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8143.000|     1|    40715.00|  平              |      2.47|      470.00|                 0.00|30432411    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8143.000|     1|    40715.00|  平              |      2.47|      470.00|                 0.00|30432449    |
|20190603|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8144.000|     1|    40720.00|  平              |      2.47|      465.00|                 0.00|30445664    |
|20190603|大商所  |铁矿石            |     i1909      |   卖|投机        |   706.500|     1|    70650.00|开                |      7.11|        0.00|                 0.00|30957622    |
|20190603|大商所  |铁矿石            |     i1909      |   卖|投机        |   708.000|     1|    70800.00|开                |      7.12|        0.00|                 0.00|30987060    |
|20190603|大商所  |铁矿石            |     i1909      |   卖|投机        |   709.000|     1|    70900.00|开                |      7.13|        0.00|                 0.00|30992023    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7725.000|     1|    38625.00|  平              |      2.02|      400.00|                 0.00|30338773    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7725.000|     1|    38625.00|  平              |      2.02|      400.00|                 0.00|30339249    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |买   |投机        |  7725.000|     3|   115875.00|  平              |      6.07|     1200.00|                 0.00|30339363    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7740.000|     1|    38700.00|  平              |      2.02|     -325.00|                 0.00|30430576    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7735.000|     1|    38675.00|  平              |      2.02|     -350.00|                 0.00|30430605    |
|20190603|大商所  |线型低密度聚乙烯  |     l1909      |   卖|投机        |  7740.000|     1|    38700.00|  平              |      2.02|     -325.00|                 0.00|30430685    |
