                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190624
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190624


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 19328776.39  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：             17354.66  期末结存 Balance c/f：               19558112.92
平仓盈亏 Realized P/L：                   99785.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                    98475.00  客户权益 Client Equity：：           19558112.92
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1738.13  保证金占用 Margin Occupied：          5107627.37
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     770295.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      18787817.92
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               14450485.55
权利金收入 Premium received：             15460.00  风 险 度 Risk Degree：                    26.12%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190624|出入金                  |         2887.93|            0.00|8001888888入金2887.93  2019-05-01~2019-05-31大商所返还|
|20190624|出入金                  |         4220.85|            0.00|8001888888入金4220.85  2019-05-01~2019-05-31上期所返还|
|20190624|出入金                  |        10245.88|            0.00|8001888888入金10245.88  2019-05-01~2019-05-31郑商所返还|
----------------------------------------------------------------------------------------------------------------
|共   3条|                        |        17354.66|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190624|大商所  |豆粕              |     m1909      |买   |投机        |  2879.000|    20|   575800.00|开                |     30.35|        0.00|                 0.00|10057827    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8343.000|     4|   166860.00|  平              |     10.11|     -520.00|                 0.00|30563304    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8343.000|     1|    41715.00|  平              |      2.53|     -130.00|                 0.00|30563313    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8343.000|    12|   500580.00|  平              |     30.34|    -1560.00|                 0.00|30563340    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8343.000|     3|   125145.00|  平              |      7.58|     -390.00|                 0.00|30563341    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8329.000|    20|   832900.00|  平              |     50.47|    -1200.00|                 0.00|30636907    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     1|    41665.00|  平              |      2.52|      -80.00|                 0.00|30648584    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     1|    41665.00|  平              |      2.52|      -80.00|                 0.00|30648599    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     1|    41665.00|  平              |      2.52|      -80.00|                 0.00|30648605    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     4|   166660.00|  平              |     10.10|     -320.00|                 0.00|30653779    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     3|   124995.00|  平              |      7.57|     -240.00|                 0.00|30653781    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     4|   166660.00|  平              |     10.10|     -320.00|                 0.00|30653785    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     5|   208325.00|  平              |     12.62|     -400.00|                 0.00|30653786    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8333.000|     1|    41665.00|  平              |      2.52|      -80.00|                 0.00|30653787    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8375.000|     1|    41875.00|  平              |      2.54|     -290.00|                 0.00|30890413    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8369.000|     1|    41845.00|  平              |      2.54|     -260.00|                 0.00|30903814    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8369.000|     1|    41845.00|  平              |      2.54|     -260.00|                 0.00|30903981    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8369.000|     1|    41845.00|  平              |      2.54|     -260.00|                 0.00|30904096    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8369.000|     1|    41845.00|  平              |      2.54|     -260.00|                 0.00|30904397    |
|20190624|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8369.000|     1|    41845.00|  平              |      2.54|     -260.00|                 0.00|30904839    |
|20190624|大商所  |聚氯乙烯          |     v2001      |买   |投机        |  6720.000|     2|    67200.00|  平              |      4.04|    -1100.00|                 0.00|31024441    |
