                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190730
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190730


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 20848966.65  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               20792023.05
平仓盈亏 Realized P/L：                   -3205.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   -52950.00  客户权益 Client Equity：：           20792023.05
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      3638.60  保证金占用 Margin Occupied：         13588747.19
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：         195.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     594855.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      20197363.05
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                7203275.86
权利金收入 Premium received：              3150.00  风 险 度 Risk Degree：                    65.36%
权利金支出 Premium paid：                   300.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|    14|       70.00|  平              |     14.70|        0.00|                70.00|10114092    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|     6|       30.00|  平              |      6.30|        0.00|                30.00|10237173    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |买   |投机        |     0.500|     6|       30.00|  平              |      6.30|        0.00|               -30.00|10237175    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |买   |投机        |     0.500|    14|       70.00|  平              |     14.70|        0.00|               -70.00|10237176    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|    19|       95.00|开                |     19.95|        0.00|                95.00|10429977    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|     1|        5.00|开                |      1.05|        0.00|                 5.00|10430008    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |买   |投机        |     0.500|    11|       55.00|开                |     11.55|        0.00|               -55.00|10430010    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |买   |投机        |     0.500|     9|       45.00|开                |      9.45|        0.00|               -45.00|10430011    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|     1|        5.00|开                |      1.05|        0.00|                 5.00|10430196    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |   卖|投机        |     0.500|    19|       95.00|开                |     19.95|        0.00|                95.00|10430197    |
|20190730|大商所  |豆粕期权          |  m1909-P-2550  |买   |投机        |     0.500|    20|      100.00|  平              |      0.00|        0.00|              -100.00|10430198    |
|20190730|大商所  |黄玉米            |     c2001      |买   |投机        |  1983.000|    50|   991500.00|  平              |     60.59|    -1000.00|                 0.00|10005396    |
|20190730|大商所  |黄玉米            |     c2001      |买   |投机        |  1982.000|    50|   991000.00|  平              |     60.59|     -500.00|                 0.00|10006138    |
|20190730|大商所  |黄玉米            |     c2001      |买   |投机        |  1981.000|     5|    99050.00|  平              |      6.06|        0.00|                 0.00|10031197    |
|20190730|大商所  |黄玉米            |     c2001      |买   |投机        |  1981.000|    30|   594300.00|  平              |     36.36|        0.00|                 0.00|10032039    |
|20190730|大商所  |黄玉米            |     c2001      |买   |投机        |  1981.000|    15|   297150.00|  平              |     18.18|        0.00|                 0.00|10032204    |
