                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190731
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190731


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 20792023.05  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：             14784.37  期末结存 Balance c/f：               21048453.32
平仓盈亏 Realized P/L：                   88530.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   148015.00  客户权益 Client Equity：：           21048453.32
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      3654.10  保证金占用 Margin Occupied：         13844664.49
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：         295.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     613190.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      20435558.32
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                7203788.83
权利金收入 Premium received：             10660.00  风 险 度 Risk Degree：                    65.78%
权利金支出 Premium paid：                  1905.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190731|出入金                  |         2598.70|            0.00|8001888888入金2598.7  2019-6-1~2019-6-30大商所返还|
|20190731|出入金                  |         4431.30|            0.00|8001888888入金4431.3  2019-6-1~2019-6-30上期所返还|
|20190731|出入金                  |         7754.37|            0.00|8001888888入金7754.37  2019-6-1~2019-6-30郑商所返还|
----------------------------------------------------------------------------------------------------------------
|共   3条|                        |        14784.37|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190731|大商所  |豆粕期权          |  m1909-C-3000  |   卖|投机        |     1.000|    13|      130.00|开                |     13.65|        0.00|               130.00|10213723    |
|20190731|大商所  |豆粕期权          |  m1909-C-3000  |   卖|投机        |     1.000|     7|       70.00|开                |      7.35|        0.00|                70.00|10221950    |
|20190731|大商所  |豆粕期权          |  m1909-C-3000  |买   |投机        |     1.000|    16|      160.00|开                |     16.80|        0.00|              -160.00|10221954    |
|20190731|大商所  |豆粕期权          |  m1909-C-3000  |买   |投机        |     1.000|     4|       40.00|开                |      4.20|        0.00|               -40.00|10221955    |
|20190731|大商所  |黄玉米            |     c2001      |买   |投机        |  1978.000|    20|   395600.00|  平              |     24.24|      400.00|                 0.00|10385034    |
|20190731|大商所  |黄玉米            |     c2001      |买   |投机        |  1980.000|    18|   356400.00|  平              |     21.81|        0.00|                 0.00|10401884    |
|20190731|大商所  |黄玉米            |     c2001      |买   |投机        |  1980.000|     2|    39600.00|  平              |      2.42|        0.00|                 0.00|10401885    |
|20190731|大商所  |聚丙烯            |     pp1909     |买   |投机        |  8605.000|    12|   516300.00|  平              |     31.29|     8580.00|                 0.00|30273315    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     9|   806400.00|  平              |     81.12|     3600.00|                 0.00|30979640    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979653    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     7|   627200.00|  平              |     63.10|     2800.00|                 0.00|30979681    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979716    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979771    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979805    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979825    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979831    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979835    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30979884    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     2|   179200.00|  平              |     18.03|      800.00|                 0.00|30979959    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     3|   268800.00|  平              |     27.04|     1200.00|                 0.00|30980057    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     5|   448000.00|  平              |     45.07|     2000.00|                 0.00|30980059    |
|20190731|大商所  |铁矿石            |     i1909      |买   |投机        |   896.000|     1|    89600.00|  平              |      9.01|      400.00|                 0.00|30980144    |
