                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190801
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190801


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 21048453.32  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：           2000000.00  期末结存 Balance c/f：               22658915.04
平仓盈亏 Realized P/L：                  -89290.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                  -301800.00  客户权益 Client Equity：：           22658915.04
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      3868.28  保证金占用 Margin Occupied：         14587348.54
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：         295.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：     614665.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      22044545.04
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                8071566.50
权利金收入 Premium received：              5420.00  风 险 度 Risk Degree：                    64.38%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190801|银期转账                |      2000000.00|            0.00|银期转账自动凭证(入金)2000000             |
----------------------------------------------------------------------------------------------------------------
|共   1条|                        |      2000000.00|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190801|大商所  |豆粕期权          |  m1909-C-3150  |   卖|投机        |     0.500|    19|       95.00|开                |     19.95|        0.00|                95.00|10104113    |
|20190801|大商所  |豆粕期权          |  m1909-C-3150  |   卖|投机        |     0.500|     6|       30.00|开                |      6.30|        0.00|                30.00|10104114    |
|20190801|大商所  |豆油              |     y1909      |   卖|投机        |  5520.000|     1|    55200.00|  平              |      2.53|     -420.00|                 0.00|10475164    |
|20190801|大商所  |豆油              |     y1909      |   卖|投机        |  5520.000|     2|   110400.00|  平              |      5.07|     -840.00|                 0.00|10475165    |
|20190801|大商所  |豆油              |     y1909      |   卖|投机        |  5520.000|     3|   165600.00|  平              |      7.60|    -1260.00|                 0.00|10475166    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1982.000|    20|   396400.00|  平              |     24.24|    -1200.00|                 0.00|10436366    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|    13|   257920.00|  平              |     15.75|    -1040.00|                 0.00|10464726    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     5|    99200.00|  平              |      6.06|     -400.00|                 0.00|10464740    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     2|    39680.00|  平              |      2.42|     -160.00|                 0.00|10464806    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|    24|   476160.00|  平              |     29.09|    -1920.00|                 0.00|10465096    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     5|    99200.00|  平              |      6.06|     -400.00|                 0.00|10465105    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     1|    19840.00|  平              |      1.21|      -80.00|                 0.00|10465118    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     1|    19840.00|  平              |      1.21|      -80.00|                 0.00|10465120    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     1|    19840.00|  平              |      1.21|      -80.00|                 0.00|10465156    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     5|    99200.00|  平              |      6.06|     -400.00|                 0.00|10465198    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     6|   119040.00|  平              |      7.27|     -480.00|                 0.00|10465214    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     1|    19840.00|  平              |      1.21|      -80.00|                 0.00|10465247    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     2|    39680.00|  平              |      2.42|     -160.00|                 0.00|10465344    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1984.000|     4|    79360.00|  平              |      4.85|     -320.00|                 0.00|10465347    |
|20190801|大商所  |黄玉米            |     c2001      |买   |投机        |  1985.000|    50|   992500.00|  平              |     60.60|    -4500.00|                 0.00|10470130    |
