                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190829
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190829


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 29130558.82  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：             21531.62  期末结存 Balance c/f：               28838374.22
平仓盈亏 Realized P/L：                 -131610.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                  -179845.00  客户权益 Client Equity：：           28838374.22
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      2261.22  保证金占用 Margin Occupied：          7265991.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：        2340.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：      41505.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      28799209.22
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               21572383.22
权利金收入 Premium received：               460.00  风 险 度 Risk Degree：                    25.20%
权利金支出 Premium paid：                   460.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190829|出入金                  |         7104.02|            0.00|8001888888入金7104.02  2019-7-1~2019-7-31大商所返还|
|20190829|出入金                  |         5922.85|            0.00|8001888888入金5922.85  2019-7-1~2019-7-31上期所返还|
|20190829|出入金                  |         8504.75|            0.00|8001888888入金8504.75  2019-7-1~2019-7-31郑商所返还|
----------------------------------------------------------------------------------------------------------------
|共   3条|                        |        21531.62|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190829|大商所  |豆粕期权          |  m2001-P-2450  |   卖|投机        |     2.000|     7|      140.00|开                |      7.35|        0.00|               140.00|10068843    |
|20190829|大商所  |豆粕期权          |  m2001-P-2450  |   卖|投机        |     2.000|     3|       60.00|开                |      3.15|        0.00|                60.00|10068844    |
|20190829|大商所  |豆粕期权          |  m2001-P-2450  |   卖|投机        |     2.000|    13|      260.00|开                |     13.65|        0.00|               260.00|10068847    |
|20190829|大商所  |豆粕期权          |  m2001-P-2450  |买   |投机        |     2.000|    13|      260.00|  平              |      0.00|        0.00|              -260.00|10068850    |
|20190829|大商所  |豆粕期权          |  m2001-P-2450  |买   |投机        |     2.000|    10|      200.00|  平              |      0.00|        0.00|              -200.00|10068851    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1893.000|     5|    94650.00|  平              |      6.06|       50.00|                 0.00|10486624    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1890.000|     5|    94500.00|  平              |      6.06|      200.00|                 0.00|10492110    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1891.000|    10|   189100.00|  平              |     12.11|      300.00|                 0.00|10593666    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1890.000|    10|   189000.00|  平              |     12.11|      400.00|                 0.00|10601373    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1889.000|    10|   188900.00|  平              |     12.11|      500.00|                 0.00|10603893    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1889.000|    10|   188900.00|  平              |     12.11|      500.00|                 0.00|10612174    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1888.000|    10|   188800.00|  平              |     12.11|      600.00|                 0.00|10614719    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1888.000|    10|   188800.00|  平              |     12.11|      600.00|                 0.00|10614776    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1888.000|    10|   188800.00|  平              |     12.11|      600.00|                 0.00|10614820    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1888.000|    10|   188800.00|  平              |     12.11|      600.00|                 0.00|10614825    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1887.000|    10|   188700.00|  平              |     12.11|      700.00|                 0.00|10614942    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|    10|   188600.00|  平              |     12.11|      800.00|                 0.00|10623058    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|     1|    18860.00|  平              |      1.21|       80.00|                 0.00|10626974    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|     5|    94300.00|  平              |      6.06|      400.00|                 0.00|10626976    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|     2|    37720.00|  平              |      2.42|      160.00|                 0.00|10626985    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|     1|    18860.00|  平              |      1.21|       80.00|                 0.00|10626987    |
|20190829|大商所  |黄玉米            |     c2001      |买   |投机        |  1886.000|     1|    18860.00|  平              |      1.21|       80.00|                 0.00|10626993    |
