                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190927
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190927


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 17556610.98  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：           5027309.90  期末结存 Balance c/f：               22320885.81
平仓盈亏 Realized P/L：                 -156030.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                  -104745.00  客户权益 Client Equity：：           22320885.81
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1910.07  保证金占用 Margin Occupied：         12511669.35
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：       18615.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：      29710.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      22309790.81
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                9809216.46
权利金收入 Premium received：             16075.00  风 险 度 Risk Degree：                    56.05%
权利金支出 Premium paid：                 16425.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20190927|银期转账                |      5000000.00|            0.00|银期转账自动凭证(入金)5000000             |
|20190927|出入金                  |        10044.52|            0.00|8001888888入金10044.52  2019-8-1~2019-8-31大商所返还|
|20190927|出入金                  |         5880.10|            0.00|8001888888入金5880.1  2019-08-01~2019-08-31上期所返还|
|20190927|出入金                  |        11385.28|            0.00|8001888888入金11385.28  2019-08-01~2019-08-31郑商所返还|
----------------------------------------------------------------------------------------------------------------
|共   4条|                        |      5027309.90|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20190927|大商所  |豆粕期权          |  m2001-C-2850  |买   |投机        |    83.000|     5|     4150.00|开                |      5.25|        0.00|             -4150.00|10319245    |
|20190927|大商所  |豆粕期权          |  m2001-C-2850  |   卖|投机        |    83.000|     5|     4150.00|开                |      5.25|        0.00|              4150.00|10319253    |
|20190927|大商所  |豆粕期权          |  m2001-C-2900  |买   |投机        |    63.500|     2|     1270.00|开                |      2.10|        0.00|             -1270.00|10268188    |
|20190927|大商所  |豆粕期权          |  m2001-C-2900  |   卖|投机        |    63.500|     2|     1270.00|开                |      2.10|        0.00|              1270.00|10268192    |
|20190927|大商所  |豆粕期权          |  m2001-C-2900  |买   |投机        |    64.000|     1|      640.00|  平              |      0.00|        0.00|              -640.00|10273196    |
|20190927|大商所  |豆粕期权          |  m2001-C-2900  |买   |投机        |    64.000|     1|      640.00|  平              |      0.00|        0.00|              -640.00|10273197    |
|20190927|大商所  |豆粕期权          |  m2001-C-2900  |   卖|投机        |    64.000|     2|     1280.00|  平              |      0.00|        0.00|              1280.00|10273886    |
|20190927|大商所  |豆粕期权          |  m2001-P-2550  |买   |投机        |     3.500|    10|      350.00|  平              |     10.50|        0.00|              -350.00|10298517    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |    54.000|     1|      540.00|开                |      1.05|        0.00|              -540.00|10271716    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |    54.000|     1|      540.00|开                |      1.05|        0.00|              -540.00|10275418    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |    54.000|     1|      540.00|开                |      1.05|        0.00|               540.00|10275421    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |    54.000|     1|      540.00|开                |      1.05|        0.00|               540.00|10275422    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |    53.500|     1|      535.00|开                |      1.05|        0.00|              -535.00|10284839    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |买   |投机        |    53.500|     4|     2140.00|开                |      4.20|        0.00|             -2140.00|10285910    |
|20190927|大商所  |豆粕期权          |  m2001-P-2800  |   卖|投机        |    53.500|     5|     2675.00|开                |      5.25|        0.00|              2675.00|10295291    |
|20190927|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |    81.000|     2|     1620.00|开                |      2.10|        0.00|             -1620.00|10278361    |
|20190927|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |    81.000|     2|     1620.00|开                |      2.10|        0.00|              1620.00|10278389    |
|20190927|大商所  |豆粕期权          |  m2001-P-2850  |买   |投机        |    80.000|     5|     4000.00|开                |      5.25|        0.00|             -4000.00|10284469    |
|20190927|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |    80.000|     4|     3200.00|开                |      4.20|        0.00|              3200.00|10296217    |
|20190927|大商所  |豆粕期权          |  m2001-P-2850  |   卖|投机        |    80.000|     1|      800.00|开                |      1.05|        0.00|               800.00|10298966    |
|20190927|大商所  |黄玉米            |     c2005      |买   |投机        |  1915.000|     5|    95750.00|开                |      6.06|        0.00|                 0.00|10000870    |
