                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20191009
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20191009


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 17478237.22  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：          -3000000.00  期末结存 Balance c/f：               14338858.47
平仓盈亏 Realized P/L：                   -8735.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                  -128170.00  客户权益 Client Equity：：           14338858.47
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1023.75  保证金占用 Margin Occupied：          9024944.30
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：       21200.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：      29990.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      14330068.47
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                5313914.17
权利金收入 Premium received：             27600.00  风 险 度 Risk Degree：                    62.94%
权利金支出 Premium paid：                 29050.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20191009|银期转账                |            0.00|      5000000.00|银期转账自动凭证(出金)5000000             |
|20191009|银期转账                |      3000000.00|            0.00|银期转账自动凭证(入金)3000000             |
|20191009|银期转账                |            0.00|      1000000.00|银期转账自动凭证(出金)1000000             |
----------------------------------------------------------------------------------------------------------------
|共   3条|                        |      3000000.00|      6000000.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191009|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |    14.500|     5|      725.00|  平              |      5.25|        0.00|              -725.00|10365047    |
|20191009|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |    14.500|     5|      725.00|  平              |      5.25|        0.00|              -725.00|10560880    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    57.500|     5|     2875.00|  平              |      5.25|        0.00|             -2875.00|10096668    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    57.500|     4|     2300.00|  平              |      4.20|        0.00|              2300.00|10097182    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    57.500|     1|      575.00|  平              |      1.05|        0.00|               575.00|10097188    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    57.000|     1|      570.00|开                |      1.05|        0.00|              -570.00|10174062    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    57.000|     4|     2280.00|开                |      4.20|        0.00|             -2280.00|10181225    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    57.000|     1|      570.00|开                |      1.05|        0.00|               570.00|10181404    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    57.000|     4|     2280.00|开                |      4.20|        0.00|              2280.00|10186242    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    53.000|     5|     2650.00|  平              |      0.00|        0.00|             -2650.00|10284838    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    53.000|     5|     2650.00|  平              |      0.00|        0.00|              2650.00|10284840    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |买   |投机        |    52.000|     5|     2600.00|开                |      5.25|        0.00|             -2600.00|10587124    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    52.000|     1|      520.00|开                |      1.05|        0.00|               520.00|10589995    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    52.000|     1|      520.00|开                |      1.05|        0.00|               520.00|10590000    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    52.000|     2|     1040.00|开                |      2.10|        0.00|              1040.00|10590014    |
|20191009|大商所  |豆粕期权          |  m2001-P-2900  |   卖|投机        |    52.000|     1|      520.00|开                |      1.05|        0.00|               520.00|10590016    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    86.000|     5|     4300.00|  平              |      5.25|        0.00|             -4300.00|10091141    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |   卖|投机        |    86.000|     5|     4300.00|  平              |      5.25|        0.00|              4300.00|10091143    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    84.500|     2|     1690.00|开                |      2.10|        0.00|             -1690.00|10173694    |
|20191009|大商所  |豆粕期权          |  m2001-P-2950  |买   |投机        |    84.500|     1|      845.00|开                |      1.05|        0.00|              -845.00|10173818    |
