                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20191029
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20191029


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 13442994.58  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：            253267.26  期末结存 Balance c/f：               13710571.89
平仓盈亏 Realized P/L：                    1310.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                    14145.00  客户权益 Client Equity：：           13710571.89
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      1104.95  保证金占用 Margin Occupied：          8401584.20
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：       47585.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：      49100.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      13709056.89
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：                5308987.69
权利金收入 Premium received：             35885.00  风 险 度 Risk Degree：                    61.28%
权利金支出 Premium paid：                 35925.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                        出入金明细 Deposit/Withdrawal 
----------------------------------------------------------------------------------------------------------------
|发生日期|       出入金类型       |      入金      |      出金      |                   说明                   |
|  Date  |          Type          |    Deposit     |   Withdrawal   |                   Note                   |
----------------------------------------------------------------------------------------------------------------
|20191029|出入金                  |         2198.76|            0.00|8001888888入金2198.76  2019-09-01~2019-09-30上期所返还|
|20191029|出入金                  |        27623.03|            0.00|8001888888入金27623.03  2019-09-01~2019-09-30大商所返还|
|20191029|出入金                  |        13445.47|            0.00|8001888888入金13445.47  2019-09-01~2019-09-30郑商所返还|
|20191029|银期转账                |       210000.00|            0.00|银期转账自动凭证(入金)210000              |
----------------------------------------------------------------------------------------------------------------
|共   4条|                        |       253267.26|            0.00|                                          |
----------------------------------------------------------------------------------------------------------------
出入金---Deposit/Withdrawal     银期转账---Bank-Futures Transfer    银期换汇---Bank-Futures FX Exchange

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    |Realized P/L|Premium Received/Paid|  Trans.No. |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|    10|      450.00|开                |     10.50|        0.00|               450.00|10113071    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|    10|      450.00|开                |     10.50|        0.00|              -450.00|10113074    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10121919    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10122451    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     8|      360.00|开                |      8.40|        0.00|               360.00|10126950    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     3|      135.00|开                |      3.15|        0.00|              -135.00|10126952    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     7|      315.00|开                |      7.35|        0.00|              -315.00|10126953    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161126    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161127    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161128    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161129    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161130    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161131    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161132    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161133    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161134    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|开                |      1.05|        0.00|                45.00|10161135    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|    10|      450.00|  平              |      0.00|        0.00|              -450.00|10161141    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     1|       45.00|  平              |      0.00|        0.00|                45.00|10205873    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |   卖|投机        |     4.500|     9|      405.00|  平              |      0.00|        0.00|               405.00|10213853    |
|20191029|大商所  |豆粕期权          |  m2001-C-3250  |买   |投机        |     4.500|     9|      405.00|  平              |      0.00|        0.00|              -405.00|10213855    |
