由csv数据生成结算单



     成交记录 Transaction Record
-------------------------------------------
|成交日期|交易所|品种|合约|买/卖|投/保|成交价|手数|成交额|开平|手续费|平仓盈亏|权利金收支|成交序号|
-------------------------------------------
|20191213|大商所|品种|l2001|　卖|投保|7250.0|1|成交额|开仓|2.02|平仓盈亏|权利金收支|30852707|
|20191213|大商所|品种|l2001|　卖|投保|7250.0|9|成交额|开仓|18.2|平仓盈亏|权利金收支|30852689|
|20191213|上期所|品种|ru2005|　卖|投保|13130.0|5|成交额|开仓|29.94|平仓盈亏|权利金收支|2706378|
|20191213|上期能源|品种|sc2002|买　|投保|466.3|1|成交额|开仓|20.28|平仓盈亏|权利金收支|2692655|
|20191213|郑商所|品种|AP005|买　|投保|8128.0|1|成交额|平仓|5.05|平仓盈亏|权利金收支|2019121302852428|
|20191213|上期所|品种|ag2002|　卖|投保|4104.0|2|成交额|平昨|6.23|平仓盈亏|权利金收支|2664513|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11542753|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|4.0|21|成交额|平仓|22.05|平仓盈亏|权利金收支|11542557|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11541500|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11541486|
|20191213|上期所|品种|ag2002|　卖|投保|4104.0|2|成交额|平昨|6.23|平仓盈亏|权利金收支|2646350|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11540955|
|20191213|上期所|品种|ag2002|　卖|投保|4103.0|2|成交额|平昨|6.23|平仓盈亏|权利金收支|2645910|
|20191213|郑商所|品种|AP005|买　|投保|8115.0|1|成交额|平仓|5.05|平仓盈亏|权利金收支|2019121302812593|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539796|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539156|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539147|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539118|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539068|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11539052|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11538649|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11538639|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|2|成交额|开仓|2.1|平仓盈亏|权利金收支|11536540|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|2|成交额|开仓|2.1|平仓盈亏|权利金收支|11536469|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11536332|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11536307|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11536024|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11535990|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11535937|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11535724|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11535692|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11534253|
|20191213|上期所|品种|ag2002|　卖|投保|4103.0|2|成交额|平今|0.07|平仓盈亏|权利金收支|2628395|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|4.0|19|成交额|平仓|19.95|平仓盈亏|权利金收支|11525745|
|20191213|大商所|品种|i2005|　卖|投保|654.0|5|成交额|平仓|32.9|平仓盈亏|权利金收支|30819669|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|20|成交额|开仓|21.0|平仓盈亏|权利金收支|11516007|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|20|成交额|开仓|21.0|平仓盈亏|权利金收支|11516006|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11516003|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11515994|
|20191213|大商所|品种|c2005|买　|投保|1893.0|1|成交额|开仓|1.21|平仓盈亏|权利金收支|11504985|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|11|成交额|平仓|0.0|平仓盈亏|权利金收支|11488051|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|29|成交额|平仓|0.0|平仓盈亏|权利金收支|11487355|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|40|成交额|开仓|42.0|平仓盈亏|权利金收支|11485382|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|40|成交额|开仓|42.0|平仓盈亏|权利金收支|11485375|
|20191213|郑商所|品种|AP005|买　|投保|8100.0|1|成交额|平仓|5.05|平仓盈亏|权利金收支|2019121302666824|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|21|成交额|开仓|22.05|平仓盈亏|权利金收支|11380180|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|19|成交额|开仓|19.95|平仓盈亏|权利金收支|11380178|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|40|成交额|开仓|42.0|平仓盈亏|权利金收支|11380085|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|29|成交额|平仓|0.0|平仓盈亏|权利金收支|11380081|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|2|成交额|平仓|0.0|平仓盈亏|权利金收支|11378725|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|1|成交额|平仓|0.0|平仓盈亏|权利金收支|11378698|
|20191213|上期能源|品种|sc2002|买　|投保|466.0|1|成交额|开仓|20.28|平仓盈亏|权利金收支|2470454|
|20191213|上期所|品种|ag2002|　卖|投保|4110.0|1|成交额|平今|0.04|平仓盈亏|权利金收支|2464623|
|20191213|大商所|品种|c2005|　卖|投保|1895.0|2|成交额|平仓|0.02|平仓盈亏|权利金收支|11354988|
|20191213|上期能源|品种|sc2002|　卖|投保|466.0|1|成交额|平昨|20.28|平仓盈亏|权利金收支|2431998|
|20191213|上期所|品种|rb2005|　卖|投保|3531.0|15|成交额|开仓|53.28|平仓盈亏|权利金收支|2359589|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11233529|
|20191213|大商所|品种|m2005-P-2400|买　|投保|3.0|30|成交额|开仓|31.5|平仓盈亏|权利金收支|11233528|
|20191213|大商所|品种|m2005-P-2400|　卖|投保|3.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11233519|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|8|成交额|平仓|0.0|平仓盈亏|权利金收支|11231674|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|4|成交额|平仓|0.0|平仓盈亏|权利金收支|11231672|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|20|成交额|平仓|0.0|平仓盈亏|权利金收支|11231232|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|平仓|0.0|平仓盈亏|权利金收支|11231178|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|15|成交额|平仓|0.0|平仓盈亏|权利金收支|11231175|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|7|成交额|开仓|7.35|平仓盈亏|权利金收支|11231172|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|33|成交额|开仓|34.65|平仓盈亏|权利金收支|11231158|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|33|成交额|开仓|34.65|平仓盈亏|权利金收支|11231151|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|7|成交额|开仓|7.35|平仓盈亏|权利金收支|11231115|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11224877|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|5|成交额|开仓|5.25|平仓盈亏|权利金收支|11224867|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11224299|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11224011|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11223849|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|21|成交额|开仓|22.05|平仓盈亏|权利金收支|11205704|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|11|成交额|开仓|11.55|平仓盈亏|权利金收支|11203805|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|9|成交额|平仓|0.0|平仓盈亏|权利金收支|11197338|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|7|成交额|平仓|0.0|平仓盈亏|权利金收支|11197337|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|24|成交额|平仓|0.0|平仓盈亏|权利金收支|11197336|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|29|成交额|开仓|30.45|平仓盈亏|权利金收支|11197333|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11187155|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11184167|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|40|成交额|平仓|0.0|平仓盈亏|权利金收支|11184166|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|29|成交额|平仓|0.0|平仓盈亏|权利金收支|11183736|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|10|成交额|平仓|0.0|平仓盈亏|权利金收支|11183735|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|1|成交额|平仓|0.0|平仓盈亏|权利金收支|11183734|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11183728|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|1|成交额|开仓|1.05|平仓盈亏|权利金收支|11183722|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|2|成交额|开仓|2.1|平仓盈亏|权利金收支|11183707|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|2|成交额|开仓|2.1|平仓盈亏|权利金收支|11183694|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|7|成交额|开仓|7.35|平仓盈亏|权利金收支|11183678|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11183675|
|20191213|大商所|品种|m2005-P-2500|买　|投保|6.0|17|成交额|开仓|17.85|平仓盈亏|权利金收支|11183674|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|6.0|40|成交额|开仓|42.0|平仓盈亏|权利金收支|11183667|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|3.5|5|成交额|开仓|5.25|平仓盈亏|权利金收支|11174579|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|3.5|4|成交额|开仓|4.2|平仓盈亏|权利金收支|11174553|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|3.5|10|成交额|开仓|10.5|平仓盈亏|权利金收支|11174552|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|3.5|6|成交额|开仓|6.3|平仓盈亏|权利金收支|11174442|
|20191213|大商所|品种|m2005-P-2450|　卖|投保|3.5|15|成交额|平仓|15.75|平仓盈亏|权利金收支|11174441|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|5.5|13|成交额|开仓|13.65|平仓盈亏|权利金收支|11163492|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|5.5|17|成交额|平仓|17.85|平仓盈亏|权利金收支|11163491|
|20191213|大商所|品种|m2005-P-2500|　卖|投保|5.5|10|成交额|平仓|10.5|平仓盈亏|权利金收支|11163490|
|20191213|上期所|品种|cu2002|买　|投保|49150.0|4|成交额|平今|0.59|平仓盈亏|权利金收支|2296269|
|20191213|大商所|品种|p2005|买　|投保|5932.0|1|成交额|平仓|0.04|平仓盈亏|权利金收支|11146235|
|20191213|大商所|品种|p2005|　卖|投保|5936.0|1|成交额|开仓|2.54|平仓盈亏|权利金收支|11103235|
|20191213|上期所|品种|bu2006|　卖|投保|3030.0|5|成交额|开仓|15.24|平仓盈亏|权利金收支|2202664|
|20191213|上期所|品种|rb2005|买　|投保|3510.0|10|成交额|平昨|35.31|平仓盈亏|权利金收支|2124884|
|20191213|大商所|品种|c2005|买　|投保|1890.0|2|成交额|开仓|2.42|平仓盈亏|权利金收支|10991220|
|20191213|上期所|品种|bu2006|买　|投保|3020.0|5|成交额|平今|15.19|平仓盈亏|权利金收支|2032418|
|20191213|上期所|品种|cu2002|　卖|投保|49350.0|1|成交额|开仓|12.49|平仓盈亏|权利金收支|1991699|
|20191213|上期所|品种|cu2002|　卖|投保|49350.0|2|成交额|开仓|24.97|平仓盈亏|权利金收支|1991698|
|20191213|上期所|品种|ru2005|买　|投保|13425.0|2|成交额|平昨|12.24|平仓盈亏|权利金收支|1926911|
